Cust Jamaica: Table 1
	Start	End	In	Log	p	for	Note		Start	End	Period	Value	Sum	Hon	Not Hon Not Camp	Sum	Camp	Hon	Other			
298	5 Oct 1753	5 Jan 1754	1												
313	5 Apr 1754	5 Jul 1754	1												
321	10 Jul 1754	10 Oct 1754	1		136	h									
					400	h									
356	5 Oct 1754	5 Jan 1755	1												
368	5 Jan 1755	5 Apr 1755	1												
374	5 Apr 1755	5 Jul 1755	1		51.5	mosq.									
382	5 Jul 1755	10 Oct 1755	1												
413	5 Oct 1755	5 Jan 1756	1												
421	5 Jan 1756	5 Apr 1756	1												
427	5 Apr 1756	5 Jul 1756	1		75	h									
					80	h									
					145	NY	"“Foreign”, camp? img430"								
435	5 Jul 1756	10 Oct 1756	1		310	h									
					40	NY	Foreign img438								
473	5 Jan 1762	5 Apr 1762	1												
481	5 Apr 1762	5 Jul 1762	1												
491	5 Jul 1762	10 Oct 1762	1												
502	10 Oct 1762	5 Jan 63	1												
562	5 Jan 1763	5 Apr 1763	1												
573	5 Jul 1763	10 Oct 1763	1												
581	10 Oct 1763	5 Jan 1764	1												
625	5 Jan 1764	5 Apr 1764	1												
633	5 Apr 1764	5 Jul 1764	1												
641			1				Stopped here								


Cust 3: Table 1
No	Start	End	Value		Sum	US	Jam	Span / Mosq	Mosq	Other			Car GA FL	NE NY Prov PA	Vi Mary	Canada	Jam	WI	Span WI	Prize		Car GA FL	NE NY Prov PA	Vi Mary	Can	Jam	WI	Span WI / Mosq	Mosq	Prize		Canada	Car	FL	NE	GA	Prov	NY	PA	Vi & Mar	Bar	Jam	WI / Hav	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize	Car	FL	NE	Prov /GA	NY	PA	Vi & Mar	Bar	Jam	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize		Canada	Car	FL	NE	GA	Prov	NY	PA	Vi & Mar	Bar	Jam	WI / Hav	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize	Car	FL	NE	Prov /GA	NY	PA	Vi & Mar	Bar	Jam	WI	WI	WI	WI	Span WI / Mosq	Mosq	Prize							
