Storms: Storms w/in 150 nautical miles of Belize.
Name	Start	Parliament	Rainfall	150 mi	50 mi	0 mi	EM-DAT	EM-DAT Loss	EM-DAT Deaths	Max wind	Min press	Max cat	Max cat w/in	Data	Loss	Loss / GDP unit	GDP Prev yr	Ratio 00	Loss 2020 BZD	Deaths	Pop	Ratio 000	Impact sx	Impact f	Cost f	Impact c
U	17 Jul 1876	Council	75	-1	1										2.98										
U	4 Jul 1893	Council	85	-1	1										2.98										
U	2 Sep 1898	Council	75	-1	1						"70,816.311712767"	35408.1558563835		2376974.28379669	2.98	8.33333333333333	11133618.8	5566809.4	1855603.1						
U	28 Sep 1904	Council	70	-1	1						"77,237.3342921924"	38618.6671460962		2592498.15362032	2.98	9	16335837.6	8167918.8	2722639.6						
U	8 Oct 1906	Council	105	953	1						"79,742.0069067916"	39871.0034533958		2676568.36640378	2.98	9	16505774.1	8252887.0	2750962.3						
U	22 Aug 1918	Council	90	968	1						"137,984.48923655"	68992.2446182748		4631497.66692762	2.98	12.8	17195265.7	8597632.9	2865877.6						
U	4 Jun 1934	Council	85	966	1						"410,511.65296921"	205255.826484605		13778967.2846061	2.98	13.0	16764881.4	8382440.7	2794146.9						
U	23 Sep 1941	8	115	-1	1						"529,742.287102249"	264871.143551124		17780985.2423404	2.98	14.0	14846623.6	7423311.8	2474437.3						
U	2 Oct 1945	10	80	982	1						"614,907.025768704"	307453.512884352		20639569.4978649	2.98	17.6	15157408.5	7578704.2	2526234.7						
ABBY	9 Jul 1960	13	70	995	1	1					"81,000"		BHD	"19,318,390.875"	0.42		0								
ANNA	17 Jul 1961	14	90	976	1						"836,335.346301495"	418167.6731507		28071888.5622288	2.98	29.6	14629011.0346133	7314505.51730665	2438168.50576888						
EDITH	5 Sep 1971	16	140	943	1						"1,585,966.86869237"	792983.4343462		53233532.9341317	2.98	38.8	17984876.6096628	8992438.3048314	2997479.4349438						
EARL	2 Aug 2016	26	75	979	1	1					"188,678,394"		BZD	"3,447,570,713.1 "	5.47		0					1099	3109	1196.84	5454
U	7 Sep 1857	2	55	-1			"16,534"	"8,252,158.29811946"	"221,030,890.904506"						2.98										
U	28 Jul 1861	3	45	-1											2.98										
U	16 Sep 1871	Council	45	-1											2.98										
U	10 Sep 1879	Council	80	-1											2.98										
U	9 Jun 1880	Council	45	-1											2.98										
U	2 Aug 1887	Council	55	-1											2.98										
U	15 Oct 1889	Council	50	-1											2.98										
U	14 Oct 1891	Council	55	-1											2.98										
U	9 Sep 1894	Council	55	-1											2.98										
U	25 Sep 1895	Council	55	982											2.98										
U	12 Sep 1898	Council	50	-1							"70,816.311712767"	35408.1558563835		2376974.28379669	2.98	8.33333333333333	12812034.2	6406017.1	2135339.0						
U	27 Oct 1898	Council	50	-1							"70,816.311712767"	35408.1558563835		2376974.28379669	2.98	8.33333333333333	14857985.7	7428992.8	2476330.9						
U	27 Aug 1916	Council	70	986							"125,833.173384622"	62916.5866923109		4223634.49817809	2.98	10.1	16787507.8	8393753.9	2797918.0						
U	6 Jul 1917	Council	45	-1							"125,833.173384622"	62916.5866923112		4223634.49817811	2.98	10.9	17179880.7	8589940.4	2863313.5						
U	16 Jun 1921	Council	80	980							"189,083.332436424"	94541.666218212		6346648.22024235	2.98	20.0	18186050.4	9093025.2	3031008.4						
U	18 Jun 1924	Council	40	-1							"240,182.175636298"	120091.087818149		8061798.77355708	2.98	17.1	19081640.0	9540820.0	3180273.3						
U	3 Oct 1926	Council	35	-1							"274,248.071102881"	137124.035551441		9205232.4757669	2.98	17.5	19574734.3	9787367.1	3262455.7						
U	10 Aug 1931	Council	50	-1							"359,412.809769337"	179706.404884669		12063816.7312914	2.98	16.7	19242024.8	9621012.4	3207004.1						
U	11 Nov 1931	Council	45	-1							"359,412.809769337"	179706.404884669		12063816.7312914	2.98	16.7	17893819.0	8946909.5	2982303.2						
U	25 Sep 1932	Council	125	943							"376,445.757502628"	188222.878751314		12635533.5823963	2.98	15.2	17368828.5	8684414.3	2894804.8						
U	7 Oct 1932	Council	60	-1							"376,445.757502628"	188222.878751314		12635533.5823963	2.98	15.2	17573421.5	8786710.7	2928903.6						
U	14 Jul 1933	Council	45	-1							"393,478.705235919"	196739.35261796		13207250.4335012	2.98	13.7	17672427.9	8836214.0	2945404.7						
U	10 Oct 1938	7	50	996							"478,643.443902375"	239321.721951188		16065834.6890257	2.98	14.4	15055007.7	7527503.8	2509167.9						
U	12 Jun 1939	8	55	-1							"495,676.391635666"	247838.195817833		16637551.5401306	2.98	14.1	14296189.1	7148094.5	2382698.2						
U	3 Aug 1942	9	50	-1							"546,775.23483554"	273387.61741777		18352702.0934453	2.98	14.7	15027432.6	7513716.3	2504572.1						
U	15 Sep 1942	9	45	-1							"546,775.23483554"	273387.61741777		18352702.0934453	2.98	14.7	14268177.3	7134088.6	2378029.5						
U	20 Oct 1943	9	40	-1							"563,808.182568831"	281904.091284415		18924418.9445502	2.98	16.3	14554141.5	7277070.8	2425690.3						
U	29 Aug 1945	10	60	990							"597,874.078035413"	298937.039017707		20067852.64676	2.98	17.6	14773496.8	7386748.4	2462249.5						
GILDA	24 Sep 1954	12	60	998							"751,170.607635034"	375585.303817517		25213304.3067041	2.98	26.7	15258457.1	7629228.5	2543076.2						
FLOSSY	20 Sep 1956	12	80	974							"785,236.503101616"	392618.251550808		26356738.0089139	2.98	26.8	15083328.0	7541664.0	2513888.0						
GERDA	14 Sep 1958	13	50	1001							"819,302.398568198"	409651.199284099		27500171.7111237	2.98	28.1	14970692.1	7485346.0	2495115.3						
U	5 Nov 1964	14	60	997							"1,005,483.48450182"	502741.7422509		33749405.0118998	2.98	30.6	15449809.2005448	7724904.6002724	2574968.2000908						
CHLOE	18 Aug 1971	16	55	1004							"1,585,966.86869237"	792983.4343462		53233532.9341317	2.98	38.8	16984709.1004892	8492354.5502446	2830784.85008153						
LAURA	12 Nov 1971	16	60	994							"1,585,966.86869237"	792983.4343462		53233532.9341317	2.98	38.8	19600233.3923163	9800116.69615815	3266705.56538605						
U	25 Sep 1975	17	25	-1							"3,075,087.09030726"	1537543.5451536		103216374.2690060	2.98	49.3	19899477.9526143	9949738.97630715	3316579.65876905						
FRIEDA	16 Oct 1977	17	50	1005							"2,887,079.37745228"	1443539.6887261		96905829.5964126	2.98	56.9	19875127.2359919	9937563.61799595	3312521.20599865						
HERMINE	20 Sep 1980	18	60	993							"4,522,521.00129052"	2261260.5006453		151800000.0000000	2.98	72.6	21132063.889554	10566031.944777	3522010.648259						
U	1 Sep 1986	19	30	-1							"6,335,216.02104184"	3167608.0105209		212643742.6647060	2.98	107.6	22536051.0860163	11268025.5430082	3756008.51433607						
GERT	14 Sep 1993	21	85	970							"15,439,704.9633722"	7719852.4816861		518239100.0000000	2.98	140.3	24348582.5195079	12174291.259754	4058097.08658467						
U	21 Sep 1993	21	30	-1							"15,439,704.9633722"	7719852.4816861		518239100.0000000	2.98	140.3	27194959.2484193	13597479.6242097	4532493.2080699						
U	24 Sep 1994	21	30	1004							"16,679,648.8364345"	8339824.4182173		559858250.0000000	2.98	144.5	32262377.2903381	16131188.6451691	5377062.88172303						
KATRINA	28 Oct 1999	22	35	999							"20,526,896.0794177"	10263448.0397089		688992450.0000000	2.98	163.0	33812496.8723882	16906248.4361941	5635416.14539803						
CHANTAL	14 Aug 2001	22	60	997		1					"10,180,000"		USD	832050000.0000000	1.22										
FELIX	31 Aug 2007	23	150	929							"36,053,549.3393394"	18026774.6696697		1210150000.0000000	2.98	201.6	29917663.9463197	14958831.9731599	4986277.32438663						
ARTHUR	31 May 2008	23	40	1004		1					"78,000,000"		USD	1271600000.0000000	6.13		5			299025	0.02	714			
ALEX	24 Jun 2010	24	95	946		1					"1,250,000"		USD	1317300000.0000000	0.09										
MATTHEW	23 Sep 2010	24	50	998							"39,245,829.4795784"	19622914.7397892		1317300000.0000000	2.98	214.537	37019165.5060665	18509582.7530333	6169860.91767777						
HARVEY	19 Aug 2011	24	55	994							"41,030,407.9247517"	20515203.9623759		1377200000.0000000	2.98	218.056	29100753.1990886	14550376.5995443	4850125.53318143						
HELENE	9 Aug 2012	25	40	1004							"43,521,071.6645929"	21760535.8322964		1460800000.0000000	2.98	224.939	29726468.538837	14863234.2694185	4954411.4231395						
BARRY	16 Jun 2013	25	40	1003							"45,371,193.8923935"	22685596.9461968		1522900000.0000000	2.98	229.593916666667	31806100.5841516	15903050.2920758	5301016.76402527						
HANNA	21 Oct 2014	25	35	1000							"47,054,477.400779"	23527238.7003895		1579400000.0000000	2.98	232.957	30467932.6185809	15233966.3092905	5077988.7697635						
											0	0.0000000					"945,189,480.571506"	"472,594,737.285753"	"157,531,579.095251"						
											0	0.0000000					"708,892,108.92863"		"320,141,146.960266"						
											0	0.0000000													

