"ISSN";"Title";"Geographical sphere";"Comprises"
"1575-9741";"Boletín de escuelas normales";"Guadalajara";"Del 02/1922 al 12/1922. Del n. 1 al n. 8"
"2173-9463";"Boletín de información de los meses... / Asociación Anticomunista Internacional";"Madrid";"3/1930"
"2173-9544";"Boletín de la Asociación de Maestros de las Escuelas Nacionales de Madrid";"Madrid";"Del 1/4/1933 al 1/4/1936. Del n. 7 al n. 19"
"2171-3472";"Boletín de la Asociación Nacional de Directores de Bandas de Música Civiles";"Madrid";"Del 01/06/1935 al 01/06/1936. Del n. 1 al n. 21"
"2530-5980";"Boletín de la Asociación Oficial de Vecinos e Inquilinos de Madrid";"Madrid";"Del 1/1925 al 11/1935"
"0211-0245";"Boletín de la Comisión del Mapa Geológico de España";"Madrid";"De 1874 a 1883"
"0012-3145";"Boletín de la Dirección General de Archivos y Bibliotecas";"Madrid";"Del 01/04/1952 al 01/05/1974. Del n. 1 al n. 137"
"2173-9447";"Boletín de la Federación Espírita Española";"Barcelona";"31/03/1927. N. 15"
"2171-5971";"Boletín de la industria y comercio del papel";"Madrid";"Del 01/02/1907 al 31/12/1908"
"2172-9980";"Boletín de la Real Academia Hispano-Americana de Ciencias y Artes";"Cádiz";"Del n. 2 (1919) al n. 42/43 (1930)"
"1887-2484";"Boletín de la reproducción foto-tipográfica de la primera edición de Don Quijote de La Mancha";"Barcelona";"Del 5/1871 al 1880. Del n. 1 al n. 10"
"1132-3744";"Boletín de la Revista ibero-americana de ciencias médicas";"Madrid";"Del 05/1915 al 06/1936. Del n. 1 al n. 121"
"2173-9552";"Boletín de la Sociedad Teosófica Española";"Madrid";"Del 12/1934 al 4/1935. Del n. 68 al n. 72"
"2340-0978";"Boletín de las prisiones";"Madrid";"Del 1/10/1863 al 23/10/1863"
"2340-0994";"Boletín de las prisiones y revista general de administración";"Madrid";"Del 11/11/1863 al 6/4/1864"
"2172-5624";"Boletín de la Unión Musical de Barcelona";"Barcelona";"Del n. 1 (15/10/1903) al n. 13 (15/12/1904)"
"2483-3762";"Boletín del C.S.B.";"Madrid";"Del 9/1934 al 4/1936. Del n. 7 al 9"
"2171-3707";"Boletín del Centro Artístico de Granada";"Granada";"Del 01/10/1886 al 01/08/1924. Del n. 1 al n. 92"
"2173-9439";"Boletín del Centro de Estudios Psicológicos";"Barcelona";"4/1930. N. 1"
"2173-2388";"Boletín del Cuerpo de Intervención Civil de Guerra";"Madrid";"De 1/1935 a 1/1936"
"1698-9406";"El Boletín del ejército (Madrid)";"Madrid";"Del 15/08/1843 al 24/06/1846"
"2171-3804";"Boletín del Grande Oriente Español";"Sevilla";"Del 10/11/1930 al 12/1933"
"2605-4280";"Boletín del Liceo (Liceo Artístico y Literario de Madrid)";"Madrid";"Del 1/1/1846 al 10/6/1846"
"2565-3555";"Boletín de loterías y de toros (Madrid)";"Madrid";"Del 14/09/1858 al 30/03/1885. Del n. 394 al n. 1779"
"2172-6000";"Boletín del Patronato Real para la Represión de la Trata de Blancas ";"Madrid";"Del n. 1 (7/1907) al n. 75 (2/1916)"
"0214-4255";"Boletín de medicina, cirugía y farmacia";"Madrid";"Del 05/06/1834 al 24/12/1853"
"2171-6110";"Boletín de procedimientos del Soberano Gran Consejo General Ibérico y Gran Logia Simbólica Española";"Madrid";"Del 5/10/1889 al 22/6/1898"
"1577-0400";"Boletín histórico (Madrid)";"Madrid";"Del 01/1880 al 01/1888"
"2387-0338";"Boletín literario del Instituto General y Técnico de Zaragoza";"Zaragoza";"5/1916"
"9941-3582";"Boletín mensual de la Sociedad de las Naciones";"Suiza";"Del 01/01/1922 al 01/12/1939"
"2171-1607";"Boletín musical (Córdoba)";"Córdoba";"Del 03/1928 al 04/1931. Del n. 1 al n. 37"
"2171-2379";"Boletín musical (Madrid)";"Madrid";"Del 10/10/1893 al 27/08/1918"
"2171-0651";"Boletín musical dedicado a las bandas de música";"Valencia";"Del 12/1927 al 01/1930. Del n. 1 al n. 20"
"2444-619X";"Boletín numismático (Valencia)";"Valencia";"Del n. 1 (3/1873) al n. 9/10 (12/1873)"
"2173-5301";"Boletín oficial de instrucción pública";"Madrid";"Del 28/2/1841 al 30/12/1847"
"2171-9802";"Boletín oficial de la Dirección General de Aeronáutica";"Madrid";"Del n. 67 (7/1934) al n. 91 (7/1936)"
"2171-9799";"Boletín oficial de la Dirección General de Aeronáutica Civil";"Madrid";"Del n. 29 (5/1931) al n. 66 (6/1934)"
"2171-9780";"Boletín oficial de la Dirección General de Navegación y Transportes Aéreos";"Madrid";"Del n. 1 (1/1929) al n. 28 (4/1931)"
"2173-3309";"Boletín oficial de la Junta Suprema de Salvación de las Baleares";"Baleares";"1843. Del n. 1 al n. 5. "
"1134-1122";"Boletín oficial de la Sociedad de Autores Españoles";"Madrid";"Del 1/1903 al 12/1904"
"1131-1444";"Boletín oficial de la Sociedad Hahnemannianna Matritense";"Madrid";"Del 1846 al 1850"
"1888-8097";"Boletín oficial de la zona de influencia española en Marruecos";"Madrid";"Del 10/04/1913 al 25/12/1918. Del n. 1 al n. 42"
"2173-9560";"Boletín oficial del Centro Instructivo y Protector de Ciegos";"Madrid";"Del 12/1931 al 6/1933. Del n. 13 al n. 26"
"1698-9600";"Boletín oficial del ejército";"Madrid";"Del 10/8/1847 al 8/12/1852"
"2171-3723";"Boletín oficial del Gran Oriente de España";"Madrid";"Del 01/05/1871 al 01/12/1873. Del n. 1 al n. 63"
"2171-3774";"Boletín oficial del Gran Oriente Español";"Madrid";"Del 01/07/1889 al 31/12/1912"
"2173-3236";"Boletín oficial del Principado de Cataluña";"Gerona";"Del 18/12/1874 al 31/03/1875. Del n. 1 al n. 26"
"2483-7687";"Boletín oficial de ventas de bienes nacionales de la provincia de Huesca";"Huesca";"Del 24/4/1913 al 24/6/1924"
"2171-3782";"Boletín oficial y revista masónica del Supremo Consejo del Grado 33 para España y sus dependencias";"Madrid";"Del 09/1932 al 09/1935"
"2173-4747";"Boletín radiográfico";"Madrid";"Del 2/1931 al 6/1934. Del n. 16 al n. 21"
"2660-0943";"La Bomba (Oviedo)";"Asturias";"2/3/1907"
"2043-1503";"The Bookman (London)";"Gran Bretaña";"N. 161 (2/1905)"
"2415-2951";"El Botafuego (Piura)";"Perú";"Del 6/10/1828 al 30/4/1829"
"2659-546X";"Boum exprés";"Zaragoza";"10/1979. N. 6"
"2173-4755";"Brújula (Madrid)";"Madrid";"Del 1/1934 al 2/1934. Del n. 1 al n. 2"
"1888-0770";"El Buen amigo (Ciudadela)";"Baleares";"Del 1/1/1901 al 15/12/1903"
"2173-9587";"La Buena nueva (Madrid. 1873)";"Madrid";"Del 10/10/1873 al 10/02/1874. Del n. 1 al n. 9"
"2171-7435";"Buen humor (Madrid)";"Madrid";"Del 4/12/1921 al 27/12/1931. Del n. 1 al n. 521 "
"2444-0086";"El Buen tono";"Madrid";"Del n. 1 (15/1/1839) al n. 12 (30/6/1839) "
"1886-7057";"El Búho (Soria)";"Soria";"Del 30/7/1992 al 8/6/1995"
"1889-8629";"El Buñuelo (Madrid)";"Madrid";"Del 04/04/1880 al 10/03/1881"
"2387-1628";"El Busilis (Barcelona)";"Barcelona";"Del 14/2/1883 al 13/3/1885"
"2172-4237";"C.E.D.A. (Madrid)";"Madrid";"Del 12/1933 al 12/1935"
"2174-8438";"C.N., El Abogado";"Cádiz";"1812. N. 3"
"2387-0362";"El Caballero de la triste figura";"Burgos";"Del n. 1 (1/3/1868) al n. 14 (31/5/1868)"
"1132-2942";"Caballo verde para la poesía";"Madrid";"Del 10/1935 al 01/1936. Del n. 1 al n. 4"
"1577-6441";"El Cabecilla (Madrid)";"Madrid";"Del 02/09/1882 al 08/02/1890"
"1699-5147";"Cádiz (Cádiz. 1877)";"Cádiz";"Del 10/05/1877 al 10/06/1880"
"2173-271X";"Cádiz-San Fernando";"Cádiz";"Del 21/3/1917 al 30/5/1918. Del n. 92 al n. 135"
"1888-8119";"El Café (Madrid)";"Madrid";"Del 30/10/1871 al 25/03/1872"
"1888-1858";"Café-!! (Madrid. 1906)";"Madrid";"Del 09/12/1906 al 31/05/1908"
"2171-1712";"Calendario de La Esperanza";"Madrid";"Del 01/01/1859 al 01/01/1874"
"2173-3317";"Calendario del agricultor, hortelano y ganadero";"Madrid";"1865"
"2171-3480";"Calendario histórico musical";"Madrid";"1873"
"2171-1704";"Calendario musical";"Madrid";"Del 1859 al 1860"
"1889-7843";"El Camarada (Barcelona)";"Barcelona";"Del 01/11/1887 al 31/10/1891"
"0211-285X";"Cambio 16";"Madrid";"Del 6/9/1976 al 28/12/2009"
"2605-4191";"Camino adelante...  (Villarejo de Salvanés)";"Madrid";"Del 1/4/1923 al 1/6/1924"
"2444-1716";"Canarias 7";"Las Palmas";"De 1982 a 2010"
"2171-1674";"La Canción popular";"Madrid";"Del 01/04/1922 al 01/01/1923. Del n. 1 al n. 14"
"2172-9956";"El Canfali (Benidorm. 1883)";"Alicante";"Del n. 1 (10/3/1883) al n. 24 (1/11/1883)"
"2444-264X";"El Cantábrico (Santander)";"Cantabria";"Del 31/12/1919 al 22/1/1937"
"1889-7983";"El Cañón Krupp";"Barcelona";"Del 04/05/1874 al 07/05/1874"
"1889-7851";"El Cañón rayado";"Barcelona";"Del 11/12/1859 al 22/03/1860"
"2487-9576";"El Caos (Madrid)";"Madrid";"Del 3/4/1870 al 4/7/1870"
"2275-8550";"La Caprichosa (Paris)";"Francia";"De 5/1857 a 4/1858"
"2174-6346";"El Capuchón (Madrid)";"Madrid";"Del 23/4/1888 al 1/7/1888"
"0327-6384";"Caras y caretas (Buenos Aires)";"Argentina";"Del 08/10/1898 al 07/10/1939. Del n. 1 al n. 2139"
"2395-8626";"Caras y caretas (México, DF)";"México";"Del n. 1 (3/5/1902) al n. 5 (31/5/1902)"
"1688-9460";"Caras y caretas (Montevideo. 1890)";"Uruguay";"Del 20/07/1890 al 28/02/1892. Del n. 1 al n. 85"
"2444-5320";"La Carcajada (Barcelona. 1891)";"Barcelona";"Del n. 1 (2/1/1891) al n. 92 (30/9/1892)"
"2444-2615";"El Cardo";"Madrid";"Del 16/2/1894 al 30/6/1903"
"2172-3680";"La Caricatura (Madrid. 1884)";"Madrid";"Del n. 1 (3/11/1884) al n. 107 (28/4/1887)"
"2172-3699";"La Caricatura (Madrid. 1892)";"Madrid";"Del n. 14 (22/10/1892) al n. 69 (12/11/1893)"
"0214-5057";"La Caridad (Madrid. 1877)";"Madrid";"Del n. 1 (1/4/1877) al n. 16 (30/5/1877)"
"1889-8017";"Carmen (Gijón)";"Asturias";"Del 12/1927 al 06/1928. Del n. 1 al n. 6"
"2173-3341";"Las Carreras en España";"Madrid";"Del 1912 al 1913"
"2171-7176";"La Carta (Madrid. 1847)";"Madrid";"Del 03/07/1847 al 24/01/1848. Del n. 113 al n. 332"
"1886-0249";"Cartas españolas";"Madrid";"Del 26/03/1831 al 01/11/1832"
"2444-1872";"Cartas & carteros";"Barcelona";"Del n. 1 (23/8/1930) al n. 96 (24/9/1934)"
"2483-5021";"Cartel de las artes";"Madrid";"Del n. 2 (1/7/1945) al n. 10 (10/3/1946)"
"2171-7370";"El Castellano (Madrid)";"Madrid";"Del 1/8/1836 al 13/4/1846"
"2172-7031";"Castilla (Madrid. 1924)";"Madrid";"Del 17/2/1924 al 19/3/1925"
"2173-9781";"Castilla industrial y agrícola";"Burgos";"Del 1/1933 al 30/11/1934. Del n. 1 al n. 23"
"2255-0038";"Catálogo general / Sociedad de Autores Españoles";"Madrid";"1913"
"2173-5034";"Catalunya (Barcelona. 1909)";"Barcelona";"Del n. 1 (18/2/1909) al n. 23 (22/7/1909)"
"2173-2728";"Cataluña textil";"Barcelona";"Del 1/1926 al 12/1926. Del n. 232 al n. 243"
"1889-3678";"Catalvnya gráfica";"Barcelona";"Del 10/01/1922 al 01/04/1923"
"2171-7192";"El Católico (Madrid)";"Madrid";"Del 01/03/1840 al 14/08/1857"
"2172-9840";"El Céfiro (Madrid)";"Madrid";"Del n. 1 (3/4/1864) al n. 9 (5/6/1864) "
"1699-7506";"El Censor (Madrid. 1781)";"Madrid";"Del n. 1 al n. 167"
"1577-5356";"El Censor (Madrid. 1820)";"Madrid";"Del 01/01/1820 al 13/07/1822"
"1889-6839";"El Censor general (Cádiz)";"Cádiz";"Del 1811 al 12/09/1814. Del n. 1 al n. 44"
"1576-9038";"El Censor general (Sevilla)";"Sevilla";"Del 09/11/1812 al 24/11/1812"
"1889-9560";"El Censor político y literario de Murcia";"Murcia";"Del 01/1821 al 07/04/1821"
"2171-603X";"El Centenario (Bilbao)";"Vizcaya";"Del 06/1900 al 08/1900. Del n. 1 al n. 3"
"2171-3405";"El Centinela de la homeopatía";"Madrid";"Del 10/12/1850 al 10/09/1851. Del n. 1 al n. 27"
"2659-5451";"Centro (Orense)";"Orense";"6/1977"
"2174-5951";"Cervantes (Madrid. 1916)";"Madrid";"De 09/1916 a 12/1920"
"2481-0592";"Cervantes (Madrid)";"Madrid";"Del 7/7/1875 al 30/6/1876"
"2171-2646";"El Cetro (Cádiz)";"Cádiz";"Del 07/1820 al 31/07/1820. Del n. 1 al n. 2"
"2171-2654";"El Cetro constitucional";"Madrid";"Del 1820 al 1821. Del n. 1 al n. 7"
"2174-9531";"Ceuta en la mano";"Ceuta";"1934"
"2386-5059";"A Chaira (Lugo)";"Lugo";"2014-"
"2171-3456";"Chamberí (Madrid. 1913)";"Madrid";"Del 14/12/1913 al 31/03/1914"
"2341-3905";"La Charanga (Palma de Mallorca)";"Baleares";"Del 1/3/1861 al 13/10/1861"
"2483-5005";"El Chisme (Barcelona)";"Barcelona";"Del 24/6/1890 al 1/9/1891"
"2171-2743";"El Chismoso (Murcia)";"Murcia";"Del 15/02/1822 al 21/08/1822. Del n. 1 al n. 30"
"2171-1747";"El Chispero (Madrid)";"Madrid";"Del 10/05/1914 al 07/06/1914"
"1577-3671";"La Ciencia (Madrid. 1857)";"Madrid";"Del 8/07/1857 al 15/08/1857. Del n. 1 al n. 6"
"2171-5386";"La Ciencia cristiana";"Madrid";"De 1877 a 1886"
"2171-6358";"CILACC (Ed. española)";"Madrid";"Del 4/1933 al 5/1935"
"1699-3594";"Cinco días (Madrid)";"Madrid";"1978-2009, 2014-"
"2340-5511";"Cine-aventuras (Barcelona)";"Barcelona";"Del n. 1 (1935) al n. 46 (1936)"
"2173-4860";"Cinegramas (Madrid)";"Madrid";"Del 1/09/1934 al 19/07/1936. Del n. 1 al n. 97"
"2171-7850";"Cinema Sparta";"Madrid";"Del 5/7/1935 al 15/2/1936"
"2171-7869";"Cine Sparta";"Madrid";"Del n. 33 (28/3/1936) al n. 35 (30/4/1936)"
"2172-5446";"Cine-star (Barcelona)";"Barcelona";"Del n. 1 (9/1935) al n. 5 (2/1936)"
"1577-5291";"Las Circunstancias (Madrid)";"Madrid";"Del 08/01/1874 al 06/03/1874"
"2660-2458";"Ciudadanía (Gerona)";"Gerona";"29/1/1911"
"1577-0826";"El Ciudadano despreocupado";"Sevilla";"Del 1820 al 1823. Del n. 1 al n. 10"
"2171-2727";"El Ciudadano español (Valencia)";"Valencia";"1822. Del n. 1 al n. 2"
"0214-851X";"Ciudad de Alcoy";"Alicante";"De 1999 a 2009"
"2174-596X";"La Ciudad lineal (Madrid. 1897)";"Madrid";"Del 05/01/1900 al 10/12/1931. Del n. 66 al n. 837"
"2660-244X";"Ciutadania (Unió Federal Nacionalista Republicana)";"Gerona";"2/7/1911, 16/7/1911"
"2171-8784";"Civdad (Madrid)";"Madrid";"Del n. 1 (26/12/1934) al n. 17 (17/4/1935)"
"2174-5978";"El Clamor público";"Madrid";"Del 07/05/1844 al 27/10/1864"
"2174-5994";"El Clarín (Madrid. 1883)";"Madrid";"Del 21/06/1883 al 30/08/1883"
"1514-965X";"Clarín (Buenos Aires)";"Argentina";"2000-2006"
"2171-634X";"El Clarín (Valencia)";"Valencia";"Del 13/01/1923 al 28/08/1936"
"2174-5986";"Clarín de la libertad";"Cádiz";"12/12/1813"
"1131-1789";"Clínica (Madrid. 1862)";"Madrid";"Del 5/11/1862 al 19/6/1866"
"2341-3824";"CNT (Barcelona)";"Barcelona";"Del 12/9/1938 al 19/1/1939"
"2173-979X";"Cocina artística y casera";"Madrid";"Del 20/3/1917 al 20/1/1918. Del n. 1 al n. 11"
"2415-296X";"El Coco de Santa-Cruz";"Perú";"Del 17/9/1835 al 23/12/1835"
"2660-3195";"El Cócora (Madrid)";"Madrid";"Del 1/6/1860 al 23/12/1860. Del n. 1 al n. 48"
"2340-0560";"La Codorniz (Madrid)";"Madrid";"Del 08/06/1941 al 17/12/1978"
"2486-7861";"Colección de decretos del Rey y de la Junta Provisional ...";"Madrid";"07/03/1820"
"1698-9597";"Colección de las leyes, reales decretos, órdenes, reglamentos, circulares y resoluciones generales espedidas [sic] por el Ministerio de la Guerra";"Madrid";"Del 1839 al 1846"
"2486-787X";"Colección de las más importantes piezas que se van publicando";"La Coruña";"Del 01/01/1813 al 08/01/1813"
"2174-7059";"Colección de papeles interesantes sobre las circunstancias presentes";"Madrid";"1808. Del n. 1 al n. 15"
"2172-5314";"El Coliseo (Madrid)";"Madrid";"Del n. 1 (1/10/1853) al n. 28 (6/5/1854)"
"1696-4888";"La Colmena (Madrid. 1820)";"Madrid";"Del 17/03/1820 al 14/06/1820"
"2605-4868";"Las Columnas de Hércules (Algeciras)";"Cádiz";"1822. N. 1"
"2386-5091";"La Comarca del Eo";"Lugo";"De 1999 a 2007. 2014-"
"2660-2253";"El Combate (Madrid. 1910)";"Madrid";"Del 11/2/1910 al 30/4/1910"
"2171-7354";"El Combate (Madrid. 1870)";"Madrid";"Del 23/10/1870 al 27/09/1872"
"1699-0919";"Comedias y comediantes";"Madrid";"Del 01/11/1909 al 01/05/1912"
"2341-4979";"El Comercio (Gijón. Ed. Asturias)";"Asturias";"2014-"
"2341-4987";"El Comercio (Gijón. Ed. Oriente)";"Asturias";"2014-"
"2530-1241";"El Comercio (Gijón. Ed. Oviedo. Diaria)";"Asturias";"2016-"
"2341-4952";"El Comercio (Gijón)";"Asturias";"De 1999 a 2007. 2014-"
"2660-1737";"El Comercio (Granada.1910)";"Granada";"12/2/1911"
"2530-0261";"El Comercio de las cuencas";"Asturias";"2014-2019"
"2530-027X";"El Comercio de Oviedo";"Asturias";"Del 19/4/2015 al 11/9/2016"
"2530-0288";"El Comercio de Siero y Centro";"Asturias";"2015-2019"
"2660-2148";"El Cometa (Las Palmas)";"Las Palmas";"28/9/1911"
"2660-3349";"Comunicación (T.E.J.)";"Madrid";"10/1940 y 1/1941. N. 9 y 12"
"2386-5970";"El Concierto (Palma de Mallorca)";"Baleares";"Del n. 1 (21/8/1845) al n. 6 (25/9/1845)"
"2174-792X";"El Conciso (Cádiz)";"Cádiz";"Del 24/09/1810 al 11/05/1814"
"1134-6248";"La Concordia (Madrid. 1863)";"Madrid";"Del 10/05/1863 al 03/01/1864"
"2660-2393";"El Consecuente (Reus)";"Tarragona";"13/5/1911"
"2487-3160";"El Conservador (Madrid. 1820)";"Madrid";"Del 27/3/1820 al 30/9/1820"
"2335-5964";"El Constitucional, Correo general de Madrid";"Madrid";"Del 1/3/1821 al 20/6/1821"
"2174-7067";"El Constitucional (Barcelona)";"Barcelona";"Del 01/08/1837 al 24/11/1843"
"2659-5443";"El Constitucional (Madrid. 1995)";"Madrid";"1995. N. 1"
"2341-3786";"El Constitucional (Valencia)";"Valencia";"Del 21/8/1836 al 31/8/1836"
"1696-6228";"El Constitucional o sea Crónica científica, literaria y política";"Madrid";"Del 13/03/1820 al 31/12/1820"
"1889-8408";"La Construcción moderna";"Madrid";"Del 15/01/1903 al 15/07/1936. Del n. 1 al n. 24"
"2173-5611";"El Constructor (Barcelona)";"Barcelona";"Del 11/1923 al 9/1928. Del n. 1 al n. 59"
"2171-5092";"El Consultor bibliográfico";"Barcelona";"Del 01/08/1925 al 01/03/1927. Del n. 1 al n. 19"
"2173-5646";"El Consultor de los párrocos";"Madrid";"Del 2/05/1872 al 31/12/1877. Del n. 1 al  n. 61"
"2173-657X";"Contemporánea (Valencia)";"Valencia";"Del 1/1933 al 5/1936. Del n. 1 al n. 39"
"2174-7083";"El Contemporáneo (Madrid)";"Madrid";"Del 20/12/1860 al 31/10/1865. Del n. 1 al n. 1492"
"9936-4980";"Contemporáneos (México, D.F.)";"México";"De 07/1928 a 1930"
"2481-6744";"Continuación del Almacén de frutos literarios o Semanario de obras inéditas";"Madrid";"De 1818 al 5/7/1819. Del n. 1 al n. 48."
"2255-1190";"Continuacion de la Noticia histórica de la Real Academia de las Nobles Artes ... de San Carlos, y relación de los premios ...";"Valencia";"Del 1776 al 1783"
"2255-1204";"Continuación de las actas de la Real Academia de las Nobles Artes ... de San Carlos, y relación de los premios ...";"Valencia";"Del 1786 al 1804"
"1576-981X";"Continuación del Memorial literario instructivo y curioso de la Corte de Madrid";"Madrid";"Del 07/1793 al 12/1797"
"2605-4299";"Contra aquello y esto";"Madrid";"Del 24/7/1987 al 28/3/1990"
"2660-1664";"El Contribuyente (Cádiz)";"Cádiz";"21/9/1911"
"2253-9948";"La Controversia (Madrid)";"Madrid";"Del 9/1/1887 al 19/5/1895. Del n. 1 al n. 302"
"2174-7091";"La Convicción (Barcelona)";"Barcelona";"Del 01/01/1871 al 29/03/1873"
"2174-7156";"Copia literal de las noticias más interesantes que se contienen en los impresos recibidos en el correo de ...";"Sevilla";"Del 16/03/1815 al 26/04/1820"
"2341-5061";"Córdoba (Córdoba)";"Córdoba";"De 1999 a 2009, 2017-"
"2660-2210";"Córdoba nueva";"Córdoba";"9/11/1910"
"2341-3921";"La Corona (Barcelona. 1857)";"Barcelona";"Del 29/4/1857 al 26/6/1868"
"2341-3840";"La Corona (Barcelona)";"Barcelona";"Del 13/2/1843 al 17/5/1843"
"2174-7164";"El Corrector de disparates";"Sevilla";"1820. Del n. 1 al n. 4"
"2171-7125";"El Correo (Madrid)";"Madrid";"Del n. 152 (1/7/1829) al n. 840 (3/11/1833)"
"2660-2067";"El Correo (Valencia. Ed. de la noche)";"Valencia";"25/10/1910"
"1576-4648";"El Correo de Andalucía";"Sevilla";"De 1999 a 2009"
"1697-9729";"El Correo de España (Madrid. 1870)";"Madrid";"Del n. 1 (13/9/1870) al n. 49 (30/6/1872)"
"2660-1435";"Correo de Extremadura";"Badajoz";"19/9/1910"
"2174-7172";"Correo de Gerona";"Gerona";"28/06/1808"
"2174-7180";"Correo de Jaén";"Jaén";"Del 21/12/1808 al 21/01/1810"
"2174-7199";"Correo de la Comisión Provincial de Santiago";"La Coruña";"30/04/1812"
"2340-0218";"El Correo de la moda (1851)";"Madrid";"Del 11/1851 al 12/1852"
"2340-0234";"El Correo de la moda (1865)";"Madrid";"Del 8/1/1865 al 26/12/1892"
"1696-845X";"Correo de las damas (Madrid)";"Madrid";"Del 03/06/1833 al 31/12/1835"
"2173-4445";"Correo de los niños";"Barcelona";"Del 9/4/1913 al 7/10/1914. Del n. 1 al n. 79"
"2171-6161";"Correo de los teatros";"Madrid";"Del 23/11/1850 al 04/11/1852. Del n. 1 al n. 53"
"0214-509X";"Correo de Madrid (ó de los ciegos)";"Madrid";"Del 10/10/1786 al 24/02/1791. Del n. 1 al n. 422"
"1577-6425";"El Correo de Mallorca (Palma de Mallorca. 1858)";"Baleares";"Del 2/12/1858 al 28/2/1864"
"1696-3598";"El Correo de Miranda de Ebro";"Burgos";"2014-"
"2174-727X";"Correo de Murcia";"Murcia";"Del 09/07/1808 al 31/10/1809"
"2171-3944";"Correo de Sevilla";"Sevilla";"Del 01/10/1803 al 30/04/1815"
"2174-7296";"Correo de Torruella de Mongrí";"Gerona";"01/07/1808"
"2254-514X";"Correo de Valencia (Valencia. 1797)";"Valencia";"12/06/1797"
"2254-464X";"Correo de Valencia (Valencia. 1810)";"Valencia";"28/03/1811"
"2386-964X";"Correo de Vitoria";"Álava";"Del 11/12/1813 al 26/02/1814"
"2444-1341";"El Correo de Zamora";"Zamora";"Del 1/2/1897 al 30/07/1992"
"1130-9059";"El Correo español";"Madrid";"Del 2/1/1892 al 23/4/1921"
"0213-4578";"El Correo español (Bilbao) ";"Vizcaya";"De 1992 a 2009. 2014-"
