Intro: Table 1
							
	sheet	database	link	query	hits	note	
		The nevvs for this vveek …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/century-3-numb-20-nevvs-this-vveek-norimberg/docview/2248501117/se-2?accountid=11311	"April 23, 1640"	re Brazil ie unspecified news from Brazil	"The Nevvs for this week from Norimberg, Frankford and Holland. Wherein (amongst other things) is contained, these remarkable passages following: The great preparation of the King of Poland against the Turke. Some things done by the French in Italie. The Weymarish have pillaged all the Merchants goods of Frankford, which were going to Collen. The retreat of Banniers Army out of Bohemia, towards Misnia, with his slighting of the places he held there, and the feare they apprehend at Lipsick of his approach that way. Something from Brazil, and something from the low Countreys, and from France, and Denmark."	
		The nevvs for this vveek …	http://search.proquest.com.ezp-prod1.hul.harvard.edu/historical-periodicals/century-3-numb-20-nevvs-this-vveek-norimberg/docview/2248501117/se-2?accountid=11311	"April 23, 1640"	re Brazil ie Adm Houtebeen in Cartagena and expectation of further news of this fm Brazil	"Amsterdam Decem. 19. 29. [vars para] From Rochel they write, that they have received newes there, that Houtebeen Admirall for the West India company in Holland, hath taken Cartagena, and obtainen in the harbour there, the whole Spanish plate fleet, the certainty hereof we must expect with the next ships that come from Brasil."	


Frea 86: Table 1
	CODE	TITLE	RAPPORT	ISSUE	DATE	NOTE	EXTRACT	
	"<div class=""liste-resultats""> <div id=""searchResultsArea""><div class=""itemsContainer""><div> <article class=""resultContainer""> <div class=""result-item""> <div class=""resultat-id"" id=""resultat-id-1""><span id=""firstContainer"" tabindex=""0""> 1 </span></div> <div id=""contenu"" class=""result-contenu"" tabindex=""-1""> <div class=""resultat_img col-xs-3 col-md-3"" data-resultat-id=""resultat-id-1""><div> <a href=""https://gallica.bnf.fr/ark:/12148/bd6t57021869.r=bois?rk=21459;2"" data-href="" class=""thumbnail   testDonia"" id=""image-link-1"" aria-hidden=""true""> <span style=""background-image:url(https://gallica.bnf.fr/ark:/12148/bd6t57021869.thumbnail);"" title=""1005 (A0,N23)."" class=""imgContner""></span>  </a> <div id=""imageDocumentSousDroits"" class=""optionHidden""> <img src=""/assets/static/images/liste_resultats/doc_sous_droits/Sous-droits.png"" alt=""> </div> <img class=""img-responsive docSpeciaux optionHidden"" alt=""marquage documents spéciaux"" title=""marquage documents spéciaux"" border=""0"" src=""/assets/static/images/liste_resultats/doc_extraits/extraits.png""> </div></div> <div class=""resultMiddleRow col-xs-9 col-md-10"" data-resultat-id=""resultat-id-1""> <div class=""resultMiddleTopRow""><div> <div class=""main-infos"">  <h2> <a href=""https://gallica.bnf.fr/ark:/12148/bd6t57021869.r=bois?rk=21459;2"" data-href="" class=""> 1005 (A0,N23). <span class=""perk-title""></span> <span class=""perk-title""></span> </a> </h2> <div class=""previewClassic"" style=""display: none;""><img src="" alt=""1005 (A0,N23).""></div>    <hr role=""presentation"" aria-hidden=""true"" class=""optionHidden""> <div class=""more-infos ""> <a role=""button"" class="" notice-toggler optionHidden"" href=""#"" data-toggle=""collapse"" data-delay=""500"" data-target=""#notice-details-1"" data-url=""> <span class=""pictos""> <span class=""white icon-infosdetails"" id=""infos-details-button""></span> </span> <span class=""notice-btn-title optionHidden"">Detailed information</span> </a> <div class=""documentOptionsRegion""><div><div class=""tag-block""> <a class=""result-desc tag-desc pictos  icon-rawtextarrow"" tabindex=""0"" title=""This document is available in text mode"" target=""_blank""></a> <span class=""AdobeBlank"">This document is available in text mode</span> </div><div class=""tag-block""> <a class=""result-desc tag-desc pictos  icon-sound"" tabindex=""0"" title=""This document can be consulted in voice mode"" target=""_blank""></a> <span class=""AdobeBlank"">This document can be consulted in voice mode</span> </div></div></div> </div> <div id=""notice-details-1"" class=""collapse notice-details""> </div>  <div class=""documentMessageRegion""></div> </div> <div class=""result-type-doc""> <span class=""simpletooltip_container""> <a role=""presentation"" data-simpletooltip-text=""Rechercher"" class=""js-simple-tooltip type_doc_icon "" id=""mention_type_doc-1"" aria-describedby=""descriptor-id-1""> <span class=""pictos icon-fascicule autoWidthAndHeight""></span> </a> <span class=""minimalist-left-simpletooltip js-simple-tooltip"" id=""descriptor-id-1"" role=""tooltip"" aria-hidden=""true"">Numéro</span> </span> <div class=""gallicarteIconRegion""><div>  <span class=""simpletooltip_container""> <a role=""button"" data-simpletooltip-text=""Rechercher"" class=""js-simple-tooltip geoloc-infos type_doc_icon "" id=""geoloc-1"" aria-describedby=""geodescriptor-id-1"" tabindex=""0"" aria-label=""> <span class=""geo-pictos icon-geoloc autoWidthAndHeight"" style=""cursor: pointer;color:#343B43""></span> </a> <span class=""minimalist-left-simpletooltip js-simple-tooltip"" id=""geodescriptor-id-1"" role=""tooltip"" aria-hidden=""true""></span> </span>  </div></div> </div> <div id=""geolocRegion-1"" class=""geolocRegion geolocRegion-1""></div> </div></div> <div class=""sampleRegion""><div class=""hasExtrait""> <div class=""extracts-container""><div> <div class="" result-desc"">  <b>Extract 1 : &nbsp;</b>  <a style=""padding: 3px 8px;"" href=""https://gallica.bnf.fr/ark:/12148/bd6t57021869/f3.image.r=bois?rk=21459;2"" aria-label=""Extract 1 : trois magnifiques glaces Louis XV avec des cadres en <mark class='highlightedText'>bois</mark> doré et sculpté sont encastrées (nouvelle fenêtre)"" target=""_self"">trois magnifiques glaces Louis XV avec des cadres en <mark class=""highlightedText"">bois</mark> doré et sculpté sont encastrées</a> </div> </div><div> <div class=""rapportRecherche result-desc"">  <a class=""btn btn-default btn-voir-extraits"" type=""submit"" style=""padding: 3px 8px;"" href=""https://rapportgallica.bnf.fr/rapport.html?query=arkPress%20all%20%22cb32869602s%2Fdate%22%20and%20%28gallica%20all%20%22bois%22%29"" aria-label="" See extracts in search report (nouvelle fenêtre)"" target=""_blank"">See extracts in search report</a> </div> </div></div> <div class=""extraLinksRegion ""><div> <ul class=""links-container""><li class=""result-desc link-desc icon-fleche_carre optionHidden ""><a href=""https://gallica.bnf.fr/ark:/12148/bd6t57021869&amp;rk=21459;2"" data-href="">1005 (A0,N23). </a></li><li class=""result-desc link-desc icon-fleche_carre optionHidden ""><a href=""https://gallica.bnf.fr/ark:/12148/bd6t57021869.r=bois&amp;rk=21459;2"" data-href="">1005 (A0,N23). </a></li></ul> </div></div> </div></div> <div class=""fastDownloadRegion""></div> </div> </div> <div class=""result-provenance optionDisabled"">  <a class=""noLink"" href="" target=""_blank""> <img class=""img-responsive"" alt=""Bibliothèque municipale de Grenoble"" title=""Bibliothèque municipale de Grenoble"" src=""https://gallica.bnf.fr/mbImage/logos/Bibliotheque-Grenoble-57-x62-px.png""> </a>  </div> </div> <div class=""mecenatRegion""></div> </article>"	"1005 (A0,N23)."	https://rapportgallica.bnf.fr/rapport.html?query=arkPress%20all%20%22cb32869602s%2Fdate%22%20and%20%28gallica%20all%20%22bois%22%29	https://gallica.bnf.fr/ark:/12148/bd6t57021869.r=bois?rk=21459;2	^^^	seems false match fm quick skim		
	"</div><div> <article class=""resultContainer""> <div class=""result-item""> <div class=""resultat-id"" id=""resultat-id-2""><span tabindex=""0""> 2 </span></div> <div id=""contenu"" class=""result-contenu"" tabindex=""-1""> <div class=""resultat_img col-xs-3 col-md-3"" data-resultat-id=""resultat-id-2""><div> <a href=""https://gallica.bnf.fr/ark:/12148/bd6t57021882.r=bois?rk=42918;4"" data-href="" class=""thumbnail   testDonia"" id=""image-link-2"" aria-hidden=""true""> <span style=""background-image:url(https://gallica.bnf.fr/ark:/12148/bd6t57021882.thumbnail);"" title=""1187 (A0,N25)."" class=""imgContner""></span>  </a> <div id=""imageDocumentSousDroits"" class=""optionHidden""> <img src=""/assets/static/images/liste_resultats/doc_sous_droits/Sous-droits.png"" alt=""> </div> <img class=""img-responsive docSpeciaux optionHidden"" alt=""marquage documents spéciaux"" title=""marquage documents spéciaux"" border=""0"" src=""/assets/static/images/liste_resultats/doc_extraits/extraits.png""> </div></div> <div class=""resultMiddleRow col-xs-9 col-md-10"" data-resultat-id=""resultat-id-2""> <div class=""resultMiddleTopRow""><div> <div class=""main-infos"">  <h2> <a href=""https://gallica.bnf.fr/ark:/12148/bd6t57021882.r=bois?rk=42918;4"" data-href="" class=""> 1187 (A0,N25). <span class=""perk-title""></span> <span class=""perk-title""></span> </a> </h2> <div class=""previewClassic"" style=""display: none;""><img src="" alt=""1187 (A0,N25).""></div>    <hr role=""presentation"" aria-hidden=""true"" class=""optionHidden""> <div class=""more-infos ""> <a role=""button"" class="" notice-toggler optionHidden"" href=""#"" data-toggle=""collapse"" data-delay=""500"" data-target=""#notice-details-2"" data-url=""> <span class=""pictos""> <span class=""white icon-infosdetails"" id=""infos-details-button""></span> </span> <span class=""notice-btn-title optionHidden"">Detailed information</span> </a> <div class=""documentOptionsRegion""><div><div class=""tag-block""> <a class=""result-desc tag-desc pictos  icon-rawtextarrow"" tabindex=""0"" title=""This document is available in text mode"" target=""_blank""></a> <span class=""AdobeBlank"">This document is available in text mode</span> </div><div class=""tag-block""> <a class=""result-desc tag-desc pictos  icon-sound"" tabindex=""0"" title=""This document can be consulted in voice mode"" target=""_blank""></a> <span class=""AdobeBlank"">This document can be consulted in voice mode</span> </div></div></div> </div> <div id=""notice-details-2"" class=""collapse notice-details""> </div>  <div class=""documentMessageRegion""></div> </div> <div class=""result-type-doc""> <span class=""simpletooltip_container""> <a role=""presentation"" data-simpletooltip-text=""Rechercher"" class=""js-simple-tooltip type_doc_icon "" id=""mention_type_doc-2"" aria-describedby=""descriptor-id-2""> <span class=""pictos icon-fascicule autoWidthAndHeight""></span> </a> <span class=""minimalist-left-simpletooltip js-simple-tooltip"" id=""descriptor-id-2"" role=""tooltip"" aria-hidden=""true"">Numéro</span> </span> <div class=""gallicarteIconRegion""><div>  <span class=""simpletooltip_container""> <a role=""button"" data-simpletooltip-text=""Rechercher"" class=""js-simple-tooltip geoloc-infos type_doc_icon "" id=""geoloc-2"" aria-describedby=""geodescriptor-id-2"" tabindex=""0"" aria-label=""> <span class=""geo-pictos icon-geoloc autoWidthAndHeight"" style=""cursor: pointer;color:#343B43""></span> </a> <span class=""minimalist-left-simpletooltip js-simple-tooltip"" id=""geodescriptor-id-2"" role=""tooltip"" aria-hidden=""true""></span> </span>  </div></div> </div> <div id=""geolocRegion-2"" class=""geolocRegion geolocRegion-2""></div> </div></div> <div class=""sampleRegion""><div class=""hasExtrait""> <div class=""extracts-container""><div> <div class="" result-desc"">  <b>Extract 1 : &nbsp;</b>  <a style=""padding: 3px 8px;"" href=""https://gallica.bnf.fr/ark:/12148/bd6t57021882/f4.image.r=bois?rk=42918;4"" aria-label=""Extract 1 : allée des soupirs, sous-<mark class='highlightedText'>bois</mark>, cascades (nouvelle fenêtre)"" target=""_self"">allée des soupirs, sous-<mark class=""highlightedText"">bois</mark>, cascades</a> </div> </div><div> <div class=""rapportRecherche result-desc"">  <a class=""btn btn-default btn-voir-extraits"" type=""submit"" style=""padding: 3px 8px;"" href=""https://rapportgallica.bnf.fr/rapport.html?query=arkPress%20all%20%22cb32869602s%2Fdate%22%20and%20%28gallica%20all%20%22bois%22%29"" aria-label="" See extracts in search report (nouvelle fenêtre)"" target=""_blank"">See extracts in search report</a> </div> </div></div> <div class=""extraLinksRegion ""><div> <ul class=""links-container""><li class=""result-desc link-desc icon-fleche_carre optionHidden ""><a href=""https://gallica.bnf.fr/ark:/12148/bd6t57021882&amp;rk=42918;4"" data-href="">1187 (A0,N25). </a></li><li class=""result-desc link-desc icon-fleche_carre optionHidden ""><a href=""https://gallica.bnf.fr/ark:/12148/bd6t57021882.r=bois&amp;rk=42918;4"" data-href="">1187 (A0,N25). </a></li></ul> </div></div> </div></div> <div class=""fastDownloadRegion""></div> </div> </div> <div class=""result-provenance optionDisabled"">  <a class=""noLink"" href="" target=""_blank""> <img class=""img-responsive"" alt=""Bibliothèque municipale de Grenoble"" title=""Bibliothèque municipale de Grenoble"" src=""https://gallica.bnf.fr/mbImage/logos/Bibliotheque-Grenoble-57-x62-px.png""> </a>  </div> </div> <div class=""mecenatRegion""></div> </article>"	"1187 (A0,N25)."	https://rapportgallica.bnf.fr/rapport.html?query=arkPress%20all%20%22cb32869602s%2Fdate%22%20and%20%28gallica%20all%20%22bois%22%29	https://gallica.bnf.fr/ark:/12148/bd6t57021882.r=bois?rk=42918;4	^^^	seems false match fm quick skim		
	"</div><div> <article class=""resultContainer""> <div class=""result-item""> <div class=""resultat-id"" id=""resultat-id-3""><span tabindex=""0""> 3 </span></div> <div id=""contenu"" class=""result-contenu"" tabindex=""-1""> <div class=""resultat_img col-xs-3 col-md-3"" data-resultat-id=""resultat-id-3""><div> <a href=""https://gallica.bnf.fr/ark:/12148/bd6t5702190c.r=bois?rk=64378;0"" data-href="" class=""thumbnail   testDonia"" id=""image-link-3"" aria-hidden=""true""> <span style=""background-image:url(https://gallica.bnf.fr/ark:/12148/bd6t5702190c.thumbnail);"" title=""1370 (A0,N27)."" class=""imgContner""></span>  </a> <div id=""imageDocumentSousDroits"" class=""optionHidden""> <img src=""/assets/static/images/liste_resultats/doc_sous_droits/Sous-droits.png"" alt=""> </div> <img class=""img-responsive docSpeciaux optionHidden"" alt=""marquage documents spéciaux"" title=""marquage documents spéciaux"" border=""0"" src=""/assets/static/images/liste_resultats/doc_extraits/extraits.png""> </div></div> <div class=""resultMiddleRow col-xs-9 col-md-10"" data-resultat-id=""resultat-id-3""> <div class=""resultMiddleTopRow""><div> <div class=""main-infos"">  <h2> <a href=""https://gallica.bnf.fr/ark:/12148/bd6t5702190c.r=bois?rk=64378;0"" data-href="" class=""> 1370 (A0,N27). <span class=""perk-title""></span> <span class=""perk-title""></span> </a> </h2> <div class=""previewClassic"" style=""display: none;""><img src="" alt=""1370 (A0,N27).""></div>    <hr role=""presentation"" aria-hidden=""true"" class=""optionHidden""> <div class=""more-infos ""> <a role=""button"" class="" notice-toggler optionHidden"" href=""#"" data-toggle=""collapse"" data-delay=""500"" data-target=""#notice-details-3"" data-url=""> <span class=""pictos""> <span class=""white icon-infosdetails"" id=""infos-details-button""></span> </span> <span class=""notice-btn-title optionHidden"">Detailed information</span> </a> <div class=""documentOptionsRegion""><div><div class=""tag-block""> <a class=""result-desc tag-desc pictos  icon-rawtextarrow"" tabindex=""0"" title=""This document is available in text mode"" target=""_blank""></a> <span class=""AdobeBlank"">This document is available in text mode</span> </div><div class=""tag-block""> <a class=""result-desc tag-desc pictos  icon-sound"" tabindex=""0"" title=""This document can be consulted in voice mode"" target=""_blank""></a> <span class=""AdobeBlank"">This document can be consulted in voice mode</span> </div></div></div> </div> <div id=""notice-details-3"" class=""collapse notice-details""> </div>  <div class=""documentMessageRegion""></div> </div> <div class=""result-type-doc""> <span class=""simpletooltip_container""> <a role=""presentation"" data-simpletooltip-text=""Rechercher"" class=""js-simple-tooltip type_doc_icon "" id=""mention_type_doc-3"" aria-describedby=""descriptor-id-3""> <span class=""pictos icon-fascicule autoWidthAndHeight""></span> </a> <span class=""minimalist-left-simpletooltip js-simple-tooltip"" id=""descriptor-id-3"" role=""tooltip"" aria-hidden=""true"">Numéro</span> </span> <div class=""gallicarteIconRegion""><div>  <span class=""simpletooltip_container""> <a role=""button"" data-simpletooltip-text=""Rechercher"" class=""js-simple-tooltip geoloc-infos type_doc_icon "" id=""geoloc-3"" aria-describedby=""geodescriptor-id-3"" tabindex=""0"" aria-label=""> <span class=""geo-pictos icon-geoloc autoWidthAndHeight"" style=""cursor: pointer;color:#343B43""></span> </a> <span class=""minimalist-left-simpletooltip js-simple-tooltip"" id=""geodescriptor-id-3"" role=""tooltip"" aria-hidden=""true""></span> </span>  </div></div> </div> <div id=""geolocRegion-3"" class=""geolocRegion geolocRegion-3""></div> </div></div> <div class=""sampleRegion""><div class=""hasExtrait""> <div class=""extracts-container""><div> <div class="" result-desc"">  <b>Extract 1 : &nbsp;</b>  <a style=""padding: 3px 8px;"" href=""https://gallica.bnf.fr/ark:/12148/bd6t5702190c/f11.image.r=bois?rk=64378;0"" aria-label=""Extract 1 : il y a à reproduire des tableaux, des objets d’art — en <mark class='highlightedText'>bois</mark>, en métal, en cuir, en cire, — de la sculpture, de l’architecture, des broderies, etc (nouvelle fenêtre)"" target=""_self"">il y a à reproduire des tableaux, des objets d’art — en <mark class=""highlightedText"">bois</mark>, en métal, en cuir, en cire, — de la sculpture, de l’architecture, des broderies, etc</a> </div> </div><div> <div class=""rapportRecherche result-desc"">  <a class=""btn btn-default btn-voir-extraits"" type=""submit"" style=""padding: 3px 8px;"" href=""https://rapportgallica.bnf.fr/rapport.html?query=arkPress%20all%20%22cb32869602s%2Fdate%22%20and%20%28gallica%20all%20%22bois%22%29"" aria-label="" See extracts in search report (nouvelle fenêtre)"" target=""_blank"">See extracts in search report</a> </div> </div></div> <div class=""extraLinksRegion ""><div> <ul class=""links-container""><li class=""result-desc link-desc icon-fleche_carre optionHidden ""><a href=""https://gallica.bnf.fr/ark:/12148/bd6t5702190c&amp;rk=64378;0"" data-href="">1370 (A0,N27). </a></li><li class=""result-desc link-desc icon-fleche_carre optionHidden ""><a href=""https://gallica.bnf.fr/ark:/12148/bd6t5702190c.r=bois&amp;rk=64378;0"" data-href="">1370 (A0,N27). </a></li></ul> </div></div> </div></div> <div class=""fastDownloadRegion""></div> </div> </div> <div class=""result-provenance optionDisabled"">  <a class=""noLink"" href="" target=""_blank""> <img class=""img-responsive"" alt=""Bibliothèque municipale de Grenoble"" title=""Bibliothèque municipale de Grenoble"" src=""https://gallica.bnf.fr/mbImage/logos/Bibliotheque-Grenoble-57-x62-px.png""> </a>  </div> </div> <div class=""mecenatRegion""></div> </article>"	"1370 (A0,N27)."	https://rapportgallica.bnf.fr/rapport.html?query=arkPress%20all%20%22cb32869602s%2Fdate%22%20and%20%28gallica%20all%20%22bois%22%29	https://gallica.bnf.fr/ark:/12148/bd6t5702190c.r=bois?rk=64378;0	^^^	seems false match fm quick skim		
	"</div><div> <article class=""resultContainer""> <div class=""result-item""> <div class=""resultat-id"" id=""resultat-id-4""><span tabindex=""0""> 4 </span></div> <div id=""contenu"" class=""result-contenu"" tabindex=""-1""> <div class=""resultat_img col-xs-3 col-md-3"" data-resultat-id=""resultat-id-4""><div> <a href=""https://gallica.bnf.fr/ark:/12148/bpt6k56075507.r=bois?rk=85837;2"" data-href="" class=""thumbnail   testDonia"" id=""image-link-4"" aria-hidden=""true""> <span style=""background-image:url(https://gallica.bnf.fr/ark:/12148/bpt6k56075507.thumbnail);"" title=""1632 (DOUBLE)."" class=""imgContner""></span>  </a> <div id=""imageDocumentSousDroits"" class=""optionHidden""> <img src=""/assets/static/images/liste_resultats/doc_sous_droits/Sous-droits.png"" alt=""> </div> <img class=""img-responsive docSpeciaux optionHidden"" alt=""marquage documents spéciaux"" title=""marquage documents spéciaux"" border=""0"" src=""/assets/static/images/liste_resultats/doc_extraits/extraits.png""> </div></div> <div class=""resultMiddleRow col-xs-9 col-md-10"" data-resultat-id=""resultat-id-4""> <div class=""resultMiddleTopRow""><div> <div class=""main-infos"">  <h2> <a href=""https://gallica.bnf.fr/ark:/12148/bpt6k56075507.r=bois?rk=85837;2"" data-href="" class=""> 1632 (DOUBLE). <span class=""perk-title""></span> <span class=""perk-title""></span> </a> </h2> <div class=""previewClassic"" style=""display: none;""><img src="" alt=""1632 (DOUBLE).""></div>    <hr role=""presentation"" aria-hidden=""true"" class=""optionHidden""> <div class=""more-infos ""> <a role=""button"" class="" notice-toggler optionHidden"" href=""#"" data-toggle=""collapse"" data-delay=""500"" data-target=""#notice-details-4"" data-url=""> <span class=""pictos""> <span class=""white icon-infosdetails"" id=""infos-details-button""></span> </span> <span class=""notice-btn-title optionHidden"">Detailed information</span> </a> <div class=""documentOptionsRegion""><div><div class=""tag-block""> <a class=""result-desc tag-desc pictos  icon-rawtextarrow"" tabindex=""0"" title=""This document is available in text mode"" target=""_blank""></a> <span class=""AdobeBlank"">This document is available in text mode</span> </div><div class=""tag-block""> <a class=""result-desc tag-desc pictos  icon-sound"" tabindex=""0"" title=""This document can be consulted in voice mode"" target=""_blank""></a> <span class=""AdobeBlank"">This document can be consulted in voice mode</span> </div></div></div> </div> <div id=""notice-details-4"" class=""collapse notice-details""> </div>  <div class=""documentMessageRegion""></div> </div> <div class=""result-type-doc""> <span class=""simpletooltip_container""> <a role=""presentation"" data-simpletooltip-text=""Rechercher"" class=""js-simple-tooltip type_doc_icon "" id=""mention_type_doc-4"" aria-describedby=""descriptor-id-4""> <span class=""pictos icon-fascicule autoWidthAndHeight""></span> </a> <span class=""minimalist-left-simpletooltip js-simple-tooltip"" id=""descriptor-id-4"" role=""tooltip"" aria-hidden=""true"">Numéro</span> </span> <div class=""gallicarteIconRegion""><div>  <span class=""simpletooltip_container""> <a role=""button"" data-simpletooltip-text=""Rechercher"" class=""js-simple-tooltip geoloc-infos type_doc_icon "" id=""geoloc-4"" aria-describedby=""geodescriptor-id-4"" tabindex=""0"" aria-label=""> <span class=""geo-pictos icon-geoloc autoWidthAndHeight"" style=""cursor: pointer;color:#343B43""></span> </a> <span class=""minimalist-left-simpletooltip js-simple-tooltip"" id=""geodescriptor-id-4"" role=""tooltip"" aria-hidden=""true""></span> </span>  </div></div> </div> <div id=""geolocRegion-4"" class=""geolocRegion geolocRegion-4""></div> </div></div> <div class=""sampleRegion""><div class=""hasExtrait""> <div class=""extracts-container""><div> <div class="" result-desc"">  <b>Extract 1 : &nbsp;</b>  <a style=""padding: 3px 8px;"" href=""https://gallica.bnf.fr/ark:/12148/bpt6k56075507/f392.image.r=bois?rk=85837;2"" aria-label=""Extract 1 : estans r'alentis le len'demain,ils passèrent leur colère à creuser leurs , retrancherhens &amp; reserrer leur camp qui estait par trop ëstenda' da'ìs les <mark class='highlightedText'>bois</mark>(...)Ceque voyant le Roy de Suéde il paíïa la rivière à Fui'th , &amp;z se logea hier commodément pour ataquer l'ennemi dans le <mark class='highlightedText'>bois</mark> où il s'est retiré (nouvelle fenêtre)"" target=""_self"">estans r'alentis le len'demain,ils passèrent leur colère à creuser leurs , retrancherhens &amp; reserrer leur camp qui estait par trop ëstenda' da'ìs les <mark class=""highlightedText"">bois</mark>(...)Ceque voyant le Roy de Suéde il paíïa la rivière à Fui'th , &amp;z se logea hier commodément pour ataquer l'ennemi dans le <mark class=""highlightedText"">bois</mark> où il s'est retiré</a> </div> </div><div> <div class="" result-desc"">  <b>Extract 2 : &nbsp;</b>  <a style=""padding: 3px 8px;"" href=""https://gallica.bnf.fr/ark:/12148/bpt6k56075507/f489.image.r=bois?rk=85837;2"" aria-label=""Extract 2 : Les <mark class='highlightedText'>bois</mark> de canellc de l'Ifle de Zeilan,sontbien maintenant en ía possession de leur Roy qui ses a reconquis fur les Portugais,mais en(...) (nouvelle fenêtre)"" target=""_self"">Les <mark class=""highlightedText"">bois</mark> de canellc de l'Ifle de Zeilan,sontbien maintenant en ía possession de leur Roy qui ses a reconquis fur les Portugais,mais en(...)</a> </div> </div><div> <div class="" result-desc"">  <b>Extract 3 : &nbsp;</b>  <a style=""padding: 3px 8px;"" href=""https://gallica.bnf.fr/ark:/12148/bpt6k56075507/f204.image.r=bois?rk=85837;2"" aria-label=""Extract 3 : L'autre, vne façon de cuire du pain fans <mark class='highlightedText'>bois</mark>,charbon, ny aucun '. autre moyen qui ait esté mis en commun víage jusques à présent, fort commode pour les villes aíSegécs où le <mark class='highlightedText'>bois</mark> manque d'ordinaire (nouvelle fenêtre)"" target=""_self"">L'autre, vne façon de cuire du pain fans <mark class=""highlightedText"">bois</mark>,charbon, ny aucun '. autre moyen qui ait esté mis en commun víage jusques à présent, fort commode pour les villes aíSegécs où le <mark class=""highlightedText"">bois</mark> manque d'ordinaire</a> </div> </div><div> <div class=""rapportRecherche result-desc"">  <a class=""btn btn-default btn-voir-extraits"" type=""submit"" style=""padding: 3px 8px;"" href=""https://rapportgallica.bnf.fr/rapport.html?query=arkPress%20all%20%22cb32780022t%2Fdate%22%20and%20%28gallica%20all%20%22bois%22%29"" aria-label="" See extracts in search report (nouvelle fenêtre)"" target=""_blank"">See extracts in search report</a> </div> </div></div> <div class=""extraLinksRegion ""><div> <ul class=""links-container""><li class=""result-desc link-desc icon-fleche_carre optionHidden ""><a href=""https://gallica.bnf.fr/ark:/12148/bpt6k56075507&amp;rk=85837;2"" data-href="">1632 (DOUBLE). </a></li><li class=""result-desc link-desc icon-fleche_carre optionHidden ""><a href=""https://gallica.bnf.fr/ark:/12148/bpt6k56075507.r=bois&amp;rk=85837;2"" data-href="">1632 (DOUBLE). </a></li></ul> </div></div> </div></div> <div class=""fastDownloadRegion""></div> </div> </div> <div class=""result-provenance optionDisabled"">  <a class=""noLink"" href="" target=""_blank""> <img class=""img-responsive"" alt=""Bibliothèque nationale de France"" title=""Bibliothèque nationale de France"" src=""https://gallica.bnf.fr/mbImage/logos/logo-bnf.png""> </a>  </div> </div> <div class=""mecenatRegion""></div> </article>"	1632 (DOUBLE).	https://rapportgallica.bnf.fr/rapport.html?query=arkPress%20all%20%22cb32780022t%2Fdate%22%20and%20%28gallica%20all%20%22bois%22%29	https://gallica.bnf.fr/ark:/12148/bpt6k56075507.r=bois?rk=85837;2	^^^	seems false match fm quick skim		
