		Averaged Rescaled Data				Original Data			Rescaled Data							
						Investment Freedom 	Financial Freedom		Investment Freedom 	Financial Freedom						
					Max	100	100		100	100						
	  				Min	0	0		0	0			 			
					Orientation	1	1		1	1						
					Assigned to	RQ	RQ		RQ	RQ						
		HER19RQ			 							 				
KOR	"Korea, South"	0.75	0.70			70	80	70		0.70	0.80	0.70						
KWT	Kuwait	0.53	0.50			55	50	50		0.55	0.50	0.50						
KGZ	Kyrgyz Republic 	0.55	0.20			60	50	20		0.60	0.50	0.20						
LAO	Laos	0.28	0.15			35	20	15		0.35	0.20	0.15						
LVA	Latvia	0.68	0.50			85	50	50		0.85	0.50	0.50						
LBN	Lebanon	0.60	0.20			60	60	20		0.60	0.60	0.20						
LSO	Lesotho	0.45	0.40			50	40	40		0.50	0.40	0.40						
LBR	Liberia	0.30	0.30			40	20	30		0.40	0.20	0.30						
LBY	Libya	0.13	0.10			5	20	10		0.05	0.20	0.10						
LIE	Liechtenstein	0.83	..			85	80	N/A		0.85	0.80	..						
LTU	Lithuania	0.80	0.60			80	80	60		0.80	0.80	0.60						
LUX	Luxembourg	0.88	0.90			95	80	90		0.95	0.80	0.90						
MAC	Macau	0.78	0.60			85	70	60		0.85	0.70	0.60						
MKD	Macedonia	0.60	0.35			60	60	35		0.60	0.60	0.35						
MDG	Madagascar	0.53	0.40			55	50	40		0.55	0.50	0.40						
MWI	Malawi	0.50	0.45			50	50	45		0.50	0.50	0.45						
MYS	Malaysia 	0.58	0.55			55	60	55		0.55	0.60	0.55						
MDV	Maldives	0.28	0.20			25	30	20		0.25	0.30	0.20						
MLI	Mali	0.48	0.20			55	40	20		0.55	0.40	0.20						
MLT	Malta	0.70	0.75			80	60	75		0.80	0.60	0.75						
MRT	Mauritania	0.45	0.25			50	40	25		0.50	0.40	0.25						
MUS	Mauritius	0.78	0.65			85	70	65		0.85	0.70	0.65						
MEX	Mexico	0.65	0.50			70	60	50		0.70	0.60	0.50						
FSM	Micronesia	0.28	0.30			25	30	30		0.25	0.30	0.30						
MDA	Moldova	0.50	0.40			50	50	40		0.50	0.50	0.40						
MNG	Mongolia	0.55	0.30			50	60	30		0.50	0.60	0.30						
MNE	Montenegro	0.58	0.40			65	50	40		0.65	0.50	0.40						
MAR	Morocco	0.65	0.40			70	60	40		0.70	0.60	0.40						
MOZ	Mozambique 	0.48	0.30			45	50	30		0.45	0.50	0.30						
NAM	Namibia	0.45	0.30			50	40	30		0.50	0.40	0.30						
NPL	Nepal	0.18	0.30			5	30	30		0.05	0.30	0.30						
NLD	Netherlands	0.85	0.90			90	80	90		0.90	0.80	0.90						
NZL	New Zealand	0.80	0.95			80	80	95		0.80	0.80	0.95						
NIC	Nicaragua 	0.58	0.15			65	50	15		0.65	0.50	0.15						
NER	Niger	0.48	0.30			55	40	30		0.55	0.40	0.30						
NGA	Nigeria	0.40	0.30			40	40	30		0.40	0.40	0.30						
NOR	Norway	0.68	0.90			75	60	90		0.75	0.60	0.90						
OMN	Oman	0.63	0.50			65	60	50		0.65	0.60	0.50						
PAK	Pakistan 	0.40	0.30			40	40	30		0.40	0.40	0.30						
PAN	Panama 	0.73	0.30			75	70	30		0.75	0.70	0.30						
PNG	Papua New Guinea	0.33	0.20			35	30	20		0.35	0.30	0.20						
PRY	Paraguay 	0.68	0.30			75	60	30		0.75	0.60	0.30						
PER	Peru	0.65	0.40			70	60	40		0.70	0.60	0.40						
PHL	Philippines	0.55	0.30			60	50	30		0.60	0.50	0.30						
POL	Poland	0.70	0.60			70	70	60		0.70	0.70	0.60						
PRT	Portugal	0.65	0.70			70	60	70		0.70	0.60	0.70						
QAT	Qatar	0.48	0.70			45	50	70		0.45	0.50	0.70						
ROM	Romania	0.65	0.40			80	50	40		0.80	0.50	0.40						
RUS	Russia	0.28	0.25			25	30	25		0.25	0.30	0.25						
RWA	Rwanda	0.53	0.30			65	40	30		0.65	0.40	0.30						
LCA	Saint Lucia	0.53	0.70			65	40	70		0.65	0.40	0.70						
VCT	Saint Vincent and the Grenadines	0.45	0.70			50	40	70		0.50	0.40	0.70						
WSM	Samoa	0.43	0.60			55	30	60		0.55	0.30	0.60						
STP	Sao Tome and Principe	0.40	0.20			50	30	20		0.50	0.30	0.20						
SAU	Saudi Arabia	0.45	0.40			40	50	40		0.40	0.50	0.40						
SEN	Senegal	0.50	0.40			60	40	40		0.60	0.40	0.40						
SRB	Serbia 	0.63	0.40			75	50	40		0.75	0.50	0.40						
SYC	Seychelles	0.40	0.50			50	30	50		0.50	0.30	0.50						
SLE	Sierra Leone	0.38	0.15			55	20	15		0.55	0.20	0.15						
SGP	Singapore	0.83	0.90			85	80	90		0.85	0.80	0.90						
SVK	Slovakia	0.75	0.50			80	70	50		0.80	0.70	0.50						
SVN	Slovenia	0.60	0.60			70	50	60		0.70	0.50	0.60						
SLB	Solomon Islands	0.23	0.30			15	30	30		0.15	0.30	0.30						
ZAF	South Africa	0.58	0.50			55	60	50		0.55	0.60	0.50						
ESP	Spain	0.75	0.70			80	70	70		0.80	0.70	0.70						
LKA	Sri Lanka	0.40	0.40			40	40	40		0.40	0.40	0.40						
SDN	Sudan	0.15	..			15	N/A	N/A		0.15	..	..						
SUR	Suriname	0.30	0.40			30	30	40		0.30	0.30	0.40						
SWZ	Swaziland	0.53	0.40			65	40	40		0.65	0.40	0.40						
SWE	Sweden	0.85	0.90			90	80	90		0.90	0.80	0.90						
CHE	Switzerland	0.83	0.90			85	80	90		0.85	0.80	0.90						
SYR	Syria	0.10	0.10			0	20	10		0.00	0.20	0.10						
TWN	Taiwan	0.65	0.70			70	60	70		0.70	0.60	0.70						
TJK	Tajikistan	0.33	0.20			25	40	20		0.25	0.40	0.20						
TZA	Tanzania	0.55	0.30			60	50	30		0.60	0.50	0.30						
THA	Thailand 	0.58	0.45			45	70	45		0.45	0.70	0.45						
TMP	Timor-Leste	0.33	0.20			45	20	20		0.45	0.20	0.20						
TGO	Togo	0.33	0.30			35	30	30		0.35	0.30	0.30						
TON	Tonga	0.28	0.20			35	20	20		0.35	0.20	0.20						
TTO	Trinidad and Tobago	0.55	0.50			60	50	50		0.60	0.50	0.50						
TUN	Tunisia	0.33	0.40			35	30	40		0.35	0.30	0.40						
TUR	Turkey	0.65	0.50			70	60	50		0.70	0.60	0.50						
TKM	Turkmenistan	0.05	0.05			0	10	5		0.00	0.10	0.05						
UGA	Uganda	0.50	0.30			60	40	30		0.60	0.40	0.30						
UKR	Ukraine	0.25	0.30			20	30	30		0.20	0.30	0.30						
ARE	United Arab Emirates	0.43	0.55			35	50	55		0.35	0.50	0.55						
GBR	United Kingdom	0.85	0.90			90	80	90		0.90	0.80	0.90						
USA	United States	0.70	0.80	 		70	70	80		0.70	0.70	0.80						
URY	Uruguay 	0.55	0.70			80	30	70		0.80	0.30	0.70						
UZB	Uzbekistan	0.05	0.15			0	10	15		0.00	0.10	0.15						
VUT	Vanuatu	0.50	0.40			60	40	40		0.60	0.40	0.40						
VEN	Venezuela 	0.13	0.05			5	20	5		0.05	0.20	0.05						
VNM	Vietnam	0.23	0.15			15	30	15		0.15	0.30	0.15						
YEM	Yemen	0.40	0.30			50	30	30		0.50	0.30	0.30						
ZMB	Zambia	0.55	0.30	 		60	50	30		0.60	0.50	0.30						
ZWE	Zimbabwe	0.08	0.10			5	10	10		0.05	0.10	0.10						
KSV	Kosovo	0.65	0.30			65	N/A	30		0.65	..	0.30						
BRN	Brunei Daressalam	0.60	0.40			70	50	40		0.70	0.50	0.40						
																		
																		
				 														

WGI2012: Table 1
		Averaged Rescaled Data				Original Data				Rescaled Data								
			  			Investment Freedom 	Financial Freedom	Property Rights		Investment Freedom 	Financial Freedom	Property Rights						
					Max	100	100	100		100	100	100						
	  				Min	0	0	0		0	0	0			 			
					Orientation	1	1	1		1	1	1						
					Assigned to	RQ	RQ	RL		RQ	RQ	RL						
		HER12RQ	HER12RL		 													
AFG	Afghanistan	0.65	..			65	N/A	N/A		0.65	..	..						
ALB	Albania	0.68	0.30			65	70	30		0.65	0.70	0.30						
DZA	Algeria	0.25	0.30			20	30	30		0.20	0.30	0.30						
AGO	Angola	0.38	0.15			35	40	15		0.35	0.40	0.15						
ARG	Argentina	0.35	0.15			40	30	15		0.40	0.30	0.15						
ARM	Armenia	0.73	0.30			75	70	30		0.75	0.70	0.30						
AUS	Australia	0.85	0.90			80	90	90		0.80	0.90	0.90						
AUT	Austria	0.78	0.90			85	70	90		0.85	0.70	0.90						
AZE	Azerbaijan	0.48	0.25			55	40	25		0.55	0.40	0.25						
BHR	Bahrain	0.78	0.55			75	80	55		0.75	0.80	0.55						
BGD	Bangladesh 	0.38	0.20			55	20	20		0.55	0.20	0.20						
BRB	Barbados	0.58	0.80			55	60	80		0.55	0.60	0.80						
BLR	Belarus	0.15	0.20			20	10	20		0.20	0.10	0.20						
BEL	Belgium	0.75	0.80			80	70	80		0.80	0.70	0.80						
BLZ	Belize	0.45	0.30			40	50	30		0.40	0.50	0.30						
BEN	Benin	0.60	0.30			70	50	30		0.70	0.50	0.30						
BTN	Bhutan	0.25	0.60			20	30	60		0.20	0.30	0.60						
BOL	Bolivia	0.30	0.10			10	50	10		0.10	0.50	0.10						
BIH	Bosnia and Herzegovina	0.65	0.20			70	60	20		0.70	0.60	0.20						
BWA	Botswana	0.70	0.70			70	70	70		0.70	0.70	0.70						
BRA	Brazil	0.55	0.50			50	60	50		0.50	0.60	0.50						
BGR	Bulgaria	0.58	0.30			55	60	30		0.55	0.60	0.30						
BFA	Burkina Faso	0.53	0.30			55	50	30		0.55	0.50	0.30						
MMR	Burma	0.05	0.10			0	10	10		0.00	0.10	0.10						
BDI	Burundi	0.43	0.20			55	30	20		0.55	0.30	0.20						
KHM	Cambodia	0.55	0.30			60	50	30		0.60	0.50	0.30						
CMR	Cameroon	0.43	0.30			35	50	30		0.35	0.50	0.30						
CAN	Canada	0.78	0.90			75	80	90		0.75	0.80	0.90						
CPV	Cape Verde	0.63	0.70			65	60	70		0.65	0.60	0.70						
CAF	Central African Republic	0.43	0.20			55	30	20		0.55	0.30	0.20						
TCD	Chad	0.45	0.20			50	40	20		0.50	0.40	0.20						
CHL	Chile	0.78	0.90			85	70	90		0.85	0.70	0.90						
CHN	China	0.28	0.20			25	30	20		0.25	0.30	0.20						
COL	Colombia	0.70	0.50			70	70	50		0.70	0.70	0.50						
COM	Comoros	0.18	0.30			15	20	30		0.15	0.20	0.30						
CRI	Costa Rica 	0.60	0.50			70	50	50		0.70	0.50	0.50						
CIV	Cote d'Ivoire	0.45	0.25			40	50	25		0.40	0.50	0.25						
HRV	Croatia	0.68	0.40			75	60	40		0.75	0.60	0.40						
CUB	Cuba	0.05	0.10			0	10	10		0.00	0.10	0.10						
CYP	Cyprus	0.68	0.70			75	60	70		0.75	0.60	0.70						
CZE	Czech Republic	0.75	0.70			70	80	70		0.70	0.80	0.70						
ZAR	Democratic Republic of Congo	0.20	0.10			20	20	10		0.20	0.20	0.10						
DNK	Denmark	0.88	0.90			85	90	90		0.85	0.90	0.90						
DJI	Djibouti	0.63	0.30			65	60	30		0.65	0.60	0.30						
DMA	Dominica	0.50	0.60			70	30	60		0.70	0.30	0.60						
DOM	Dominican Republic	0.53	0.30			65	40	30		0.65	0.40	0.30						
ECU	Ecuador	0.30	0.20			20	40	20		0.20	0.40	0.20						
EGY	Egypt	0.45	0.35			50	40	35		0.50	0.40	0.35						
SLV	El Salvador 	0.70	0.40			70	70	40		0.70	0.70	0.40						
GNQ	Equatorial Guinea	0.28	0.15			25	30	15		0.25	0.30	0.15						
ERI	Eritrea	0.10	0.10			0	20	10		0.00	0.20	0.10						
EST	Estonia	0.85	0.85			90	80	85		0.90	0.80	0.85						
ETH	Ethiopia	0.23	0.30			25	20	30		0.25	0.20	0.30						
FJI	Fiji	0.45	0.25			40	50	25		0.40	0.50	0.25						
FIN	Finland	0.85	0.90			90	80	90		0.90	0.80	0.90						
FRA	France	0.68	0.80			65	70	80		0.65	0.70	0.80						
GAB	Gabon	0.48	0.40			55	40	40		0.55	0.40	0.40						
GEO	Georgia	0.68	0.45			75	60	45		0.75	0.60	0.45						
DEU	Germany	0.78	0.90			85	70	90		0.85	0.70	0.90						
GHA	Ghana	0.65	0.50			70	60	50		0.70	0.60	0.50						
GRC	Greece	0.58	0.40			65	50	40		0.65	0.50	0.40						
GTM	Guatemala 	0.55	0.30			60	50	30		0.60	0.50	0.30						
GIN	Guinea	0.43	0.20			45	40	20		0.45	0.40	0.20						
GNB	Guinea-Bissau	0.33	0.20			35	30	20		0.35	0.30	0.20						
GUY	Guyana	0.33	0.30			35	30	30		0.35	0.30	0.30						
HTI	Haiti	0.30	0.10			30	30	10		0.30	0.30	0.10						
HND	Honduras 	0.63	0.30			65	60	30		0.65	0.60	0.30						
HKG	Hong Kong	0.90	0.90			90	90	90		0.90	0.90	0.90						
HUN	Hungary 	0.73	0.65			75	70	65		0.75	0.70	0.65						
ISL	Iceland	0.63	0.90			65	60	90		0.65	0.60	0.90						
IND	India	0.38	0.50			35	40	50		0.35	0.40	0.50						
IDN	Indonesia	0.43	0.30			35	50	30		0.35	0.50	0.30						
IRN	Iran	0.05	0.10			0	10	10		0.00	0.10	0.10						
IRL	Ireland	0.80	0.90			90	70	90		0.90	0.70	0.90						
ISR	Israel	0.75	0.70			80	70	70		0.80	0.70	0.70						
ITA	Italy	0.70	0.50			80	60	50		0.80	0.60	0.50						
JAM	Jamaica 	0.73	0.40			85	60	40		0.85	0.60	0.40						
JPN	Japan	0.55	0.80			60	50	80		0.60	0.50	0.80						
JOR	Jordan	0.65	0.60			70	60	60		0.70	0.60	0.60						
KAZ	Kazakhstan	0.40	0.35			30	50	35		0.30	0.50	0.35						
KEN	Kenya	0.50	0.30			50	50	30		0.50	0.50	0.30						
KIR	Kiribati	0.28	0.30			25	30	30		0.25	0.30	0.30						
KSV	Kosovo	0.65	0.30			65	N/A	30		0.65	..	0.30						
KWT	Kuwait	0.53	0.50			55	50	50		0.55	0.50	0.50						
KGZ	Kyrgyz Republic 	0.50	0.20			50	50	20		0.50	0.50	0.20						
LAO	Laos	0.25	0.15			30	20	15		0.30	0.20	0.15						
LVA	Latvia	0.65	0.50			80	50	50		0.80	0.50	0.50						
LBN	Lebanon	0.60	0.20			60	60	20		0.60	0.60	0.20						
LSO	Lesotho	0.43	0.40			45	40	40		0.45	0.40	0.40						
LBR	Liberia	0.20	0.30			20	20	30		0.20	0.20	0.30						
LBY	Libya	0.15	0.10			10	20	10		0.10	0.20	0.10						
LIE	Liechtenstein	0.80	..			N/A	80	N/A		..	0.80	..						
LTU	Lithuania	0.80	0.60			80	80	60		0.80	0.80	0.60						
LUX	Luxembourg	0.88	0.90			95	80	90		0.95	0.80	0.90						
MAC	Macau	0.78	0.60			85	70	60		0.85	0.70	0.60						
MKD	Macedonia	0.60	0.35			60	60	35		0.60	0.60	0.35						
MDG	Madagascar	0.53	0.40			55	50	40		0.55	0.50	0.40						
MWI	Malawi	0.50	0.40			50	50	40		0.50	0.50	0.40						
MYS	Malaysia 	0.48	0.55			45	50	55		0.45	0.50	0.55						
MDV	Maldives	0.30	0.25			30	30	25		0.30	0.30	0.25						
MLI	Mali	0.43	0.30			45	40	30		0.45	0.40	0.30						
MLT	Malta	0.73	0.75			85	60	75		0.85	0.60	0.75						
MRT	Mauritania	0.43	0.25			45	40	25		0.45	0.40	0.25						
MUS	Mauritius	0.80	0.70			90	70	70		0.90	0.70	0.70						
MEX	Mexico	0.65	0.50			70	60	50		0.70	0.60	0.50						
FSM	Micronesia	0.25	0.30			20	30	30		0.20	0.30	0.30						
MDA	Moldova	0.43	0.40			35	50	40		0.35	0.50	0.40						
MNG	Mongolia	0.55	0.30			50	60	30		0.50	0.60	0.30						
MNE	Montenegro	0.53	0.40			55	50	40		0.55	0.50	0.40						
MAR	Morocco	0.65	0.40			70	60	40		0.70	0.60	0.40						
MOZ	Mozambique 	0.50	0.30			50	50	30		0.50	0.50	0.30						
NAM	Namibia	0.45	0.30			50	40	30		0.50	0.40	0.30						
NPL	Nepal	0.20	0.30			10	30	30		0.10	0.30	0.30						
NZL	New Zealand	0.80	0.95			80	80	95		0.80	0.80	0.95						
NIC	Nicaragua 	0.55	0.15			60	50	15		0.60	0.50	0.15						
NER	Niger	0.48	0.30			55	40	30		0.55	0.40	0.30						
NGA	Nigeria	0.40	0.30			40	40	30		0.40	0.40	0.30						
PRK	North Korea	0.00	0.05			0	0	5		0.00	0.00	0.05						
NOR	Norway	0.65	0.90			70	60	90		0.70	0.60	0.90						
OMN	Oman	0.58	0.50			55	60	50		0.55	0.60	0.50						
PAK	Pakistan 	0.38	0.30			35	40	30		0.35	0.40	0.30						
PAN	Panama 	0.68	0.30			65	70	30		0.65	0.70	0.30						
PNG	Papua New Guinea	0.33	0.20			35	30	20		0.35	0.30	0.20						
PRY	Paraguay 	0.65	0.30			70	60	30		0.70	0.60	0.30						
PER	Peru	0.65	0.40			70	60	40		0.70	0.60	0.40						
POL	Poland	0.68	0.60			65	70	60		0.65	0.70	0.60						
PRT	Portugal	0.65	0.70			70	60	70		0.70	0.60	0.70						
QAT	Qatar	0.48	0.70			45	50	70		0.45	0.50	0.70						
COG	Republic of Congo 	0.25	0.10			20	30	10		0.20	0.30	0.10						
ROM	Romania	0.65	0.40			80	50	40		0.80	0.50	0.40						
RUS	Russia	0.28	0.25			25	30	25		0.25	0.30	0.25						
RWA	Rwanda	0.53	0.30			65	40	30		0.65	0.40	0.30						
LCA	Saint Lucia	0.53	0.70			65	40	70		0.65	0.40	0.70						
VCT	Saint Vincent and the Grenadines	0.45	0.70			50	40	70		0.50	0.40	0.70						
WSM	Samoa	0.30	0.60			30	30	60		0.30	0.30	0.60						
STP	Sao Tome and Principe	0.40	0.20			50	30	20		0.50	0.30	0.20						
SAU	Saudi Arabia	0.45	0.40			40	50	40		0.40	0.50	0.40						
SEN	Senegal	0.48	0.40			55	40	40		0.55	0.40	0.40						
SRB	Serbia 	0.58	0.40			65	50	40		0.65	0.50	0.40						
SYC	Seychelles	0.38	0.50			45	30	50		0.45	0.30	0.50						
SLE	Sierra Leone	0.38	0.10			55	20	10		0.55	0.20	0.10						
SGP	Singapore	0.78	0.90			75	80	90		0.75	0.80	0.90						
SVK	Slovakia	0.73	0.50			75	70	50		0.75	0.70	0.50						
SVN	Slovenia	0.60	0.60			70	50	60		0.70	0.50	0.60						
SLB	Solomon Islands	0.20	0.30			10	30	30		0.10	0.30	0.30						
ZAF	South Africa	0.53	0.50			45	60	50		0.45	0.60	0.50						
KOR	South Korea	0.70	0.70			70	70	70		0.70	0.70	0.70						
ESP	Spain	0.75	0.70			80	70	70		0.80	0.70	0.70						
LKA	Sri Lanka	0.40	0.40			40	40	40		0.40	0.40	0.40						
SDN	Sudan	0.15	..			15	N/A	N/A		0.15	..	..						
SUR	Suriname	0.28	0.40			25	30	40		0.25	0.30	0.40						
SWZ	Swaziland	0.48	0.40			55	40	40		0.55	0.40	0.40						
SWE	Sweden	0.85	0.90			90	80	90		0.90	0.80	0.90						
CHE	Switzerland	0.80	0.90			80	80	90		0.80	0.80	0.90						
SYR	Syria	0.15	0.20			10	20	20		0.10	0.20	0.20						
TWN	Taiwan	0.58	0.70			65	50	70		0.65	0.50	0.70						
TJK	Tajikistan	0.30	0.20			20	40	20		0.20	0.40	0.20						
TZA	Tanzania	0.53	0.30			55	50	30		0.55	0.50	0.30						
THA	Thailand 	0.55	0.45			40	70	45		0.40	0.70	0.45						
BHS	The Bahamas	0.50	0.70			30	70	70		0.30	0.70	0.70						
GMB	The Gambia	0.58	0.30			65	50	30		0.65	0.50	0.30						
NLD	The Netherlands	0.85	0.90			90	80	90		0.90	0.80	0.90						
PHL	The Philippines	0.50	0.30			50	50	30		0.50	0.50	0.30						
TMP	Timor-Leste	0.30	0.20			40	20	20		0.40	0.20	0.20						
TGO	Togo	0.33	0.30			35	30	30		0.35	0.30	0.30						
TON	Tonga	0.25	0.20			30	20	20		0.30	0.20	0.20						
TTO	Trinidad and Tobago	0.60	0.50			60	60	50		0.60	0.60	0.50						
TUN	Tunisia	0.33	0.40			35	30	40		0.35	0.30	0.40						
TUR	Turkey	0.63	0.50			65	60	50		0.65	0.60	0.50						
TKM	Turkmenistan	0.05	0.05			0	10	5		0.00	0.10	0.05						
UGA	Uganda	0.53	0.30			55	50	30		0.55	0.50	0.30						
UKR	Ukraine	0.25	0.30			20	30	30		0.20	0.30	0.30						
ARE	United Arab Emirates	0.43	0.55			35	50	55		0.35	0.50	0.55						
GBR	United Kingdom	0.85	0.90			90	80	90		0.90	0.80	0.90						
USA	United States	0.70	0.85			70	70	85		0.70	0.70	0.85						
URY	Uruguay 	0.53	0.70			75	30	70		0.75	0.30	0.70						
UZB	Uzbekistan	0.05	0.15			0	10	15		0.00	0.10	0.15						
VUT	Vanuatu	0.35	0.40			30	40	40		0.30	0.40	0.40						
VEN	Venezuela 	0.13	0.05			5	20	5		0.05	0.20	0.05						
VNM	Vietnam	0.23	0.15			15	30	15		0.15	0.30	0.15						
YEM	Yemen	0.40	0.30			50	30	30		0.50	0.30	0.30						
ZMB	Zambia	0.53	0.30			55	50	30		0.55	0.50	0.30						
ZWE	Zimbabwe	0.05	0.10			0	10	10		0.00	0.10	0.10						

WGI2011: Table 1
		Averaged Rescaled Data				Original Data				Rescaled Data								
			  			Investment Freedom 	Financial Freedom	Property Rights		Investment Freedom 	Financial Freedom	Property Rights						
					Max	100	100	100		100	100	100						
	  				Min	0	0	0		0	0	0			 			
					Orientation	1	1	1		1	1	1						
					Assigned to	RQ	RQ	RL		RQ	RQ	RL						
		HER11RQ	HER11RL		 													
ALB	Albania	0.68	0.35			65	70	35		0.65	0.70	0.35						
DZA	Algeria	0.25	0.30			20	30	30		0.20	0.30	0.30						
AGO	Angola	0.38	0.20			35	40	20		0.35	0.40	0.20						
ARG	Argentina	0.35	0.20			40	30	20		0.40	0.30	0.20						
ARM	Armenia	0.73	0.30		 	75	70	30		0.75	0.70	0.30						
AUS	Australia	0.85	0.90			80	90	90		0.80	0.90	0.90						
AUT	Austria	0.75	0.90			80	70	90		0.80	0.70	0.90						
AZE	Azerbaijan	0.48	0.20			55	40	20		0.55	0.40	0.20						
BHR	Bahrain	0.78	0.55			75	80	55		0.75	0.80	0.55						
BGD	Bangladesh 	0.38	0.20			55	20	20		0.55	0.20	0.20						
BRB	Barbados	0.58	0.80			55	60	80		0.55	0.60	0.80						
BLR	Belarus	0.15	0.20			20	10	20		0.20	0.10	0.20						
BEL	Belgium	0.75	0.80			80	70	80		0.80	0.70	0.80						
BLZ	Belize	0.50	0.30			50	50	30		0.50	0.50	0.30						
BEN	Benin	0.55	0.30			60	50	30		0.60	0.50	0.30						
BTN	Bhutan	0.25	0.60			20	30	60		0.20	0.30	0.60						
BOL	Bolivia	0.35	0.10		 	20	50	10		0.20	0.50	0.10						
BIH	Bosnia and Herzegovina	0.65	0.20		 	70	60	20		0.70	0.60	0.20						
BWA	Botswana	0.73	0.70			75	70	70		0.75	0.70	0.70						
BRA	Brazil	0.55	0.50			50	60	50		0.50	0.60	0.50						
BGR	Bulgaria	0.58	0.30			55	60	30		0.55	0.60	0.30						
BFA	Burkina Faso	0.53	0.30			55	50	30		0.55	0.50	0.30						
MMR	Burma	0.05	0.10			0	10	10		0.00	0.10	0.10						
BDI	Burundi	0.43	0.20			55	30	20		0.55	0.30	0.20						
KHM	Cambodia	0.55	0.30			60	50	30		0.60	0.50	0.30						
CMR	Cameroon	0.43	0.30			35	50	30		0.35	0.50	0.30						
CAN	Canada	0.78	0.90			75	80	90		0.75	0.80	0.90						
CPV	Cape Verde	0.63	0.65			65	60	65		0.65	0.60	0.65						
CAF	Central African Republic	0.43	0.20			55	30	20		0.55	0.30	0.20						
TCD	Chad	0.45	0.20			50	40	20		0.50	0.40	0.20						
CHL	Chile	0.75	0.90			80	70	90		0.80	0.70	0.90						
CHN	China	0.28	0.20			25	30	20		0.25	0.30	0.20						
COL	Colombia	0.63	0.50			65	60	50		0.65	0.60	0.50						
COM	Comoros	0.18	0.30			15	20	30		0.15	0.20	0.30						
CRI	Costa Rica 	0.60	0.55			70	50	55		0.70	0.50	0.55						
CIV	Cote d'Ivoire	0.43	0.20			35	50	20		0.35	0.50	0.20						
HRV	Croatia	0.65	0.40			70	60	40		0.70	0.60	0.40						
CUB	Cuba	0.05	0.10			0	10	10		0.00	0.10	0.10						
CYP	Cyprus	0.73	0.70			75	70	70		0.75	0.70	0.70						
CZE	Czech Republic	0.75	0.70			70	80	70		0.70	0.80	0.70						
ZAR	Democratic Republic of Congo	0.20	0.10			20	20	10		0.20	0.20	0.10						
DNK	Denmark	0.90	0.90			90	90	90		0.90	0.90	0.90						
DJI	Djibouti	0.63	0.30			65	60	30		0.65	0.60	0.30						
DMA	Dominica	0.45	0.60			60	30	60		0.60	0.30	0.60						
DOM	Dominican Republic	0.48	0.30			55	40	30		0.55	0.40	0.30						
ECU	Ecuador	0.33	0.20			25	40	20		0.25	0.40	0.20						
EGY	Egypt	0.53	0.35			65	40	35		0.65	0.40	0.35						
SLV	El Salvador 	0.73	0.40			75	70	40		0.75	0.70	0.40						
GNQ	Equatorial Guinea	0.33	0.20			25	40	20		0.25	0.40	0.20						
ERI	Eritrea	0.10	0.10			0	20	10		0.00	0.20	0.10						
EST	Estonia	0.85	0.80			90	80	80		0.90	0.80	0.80						
ETH	Ethiopia	0.23	0.30			25	20	30		0.25	0.20	0.30						
FJI	Fiji	0.45	0.25			30	60	25		0.30	0.60	0.25						
FIN	Finland	0.83	0.90			85	80	90		0.85	0.80	0.90						
FRA	France	0.63	0.80			55	70	80		0.55	0.70	0.80						
GAB	Gabon	0.43	0.40			45	40	40		0.45	0.40	0.40						
GEO	Georgia	0.65	0.40			70	60	40		0.70	0.60	0.40						
DEU	Germany	0.73	0.90			85	60	90		0.85	0.60	0.90						
GHA	Ghana	0.63	0.50			65	60	50		0.65	0.60	0.50						
GRC	Greece	0.60	0.50			60	60	50		0.60	0.60	0.50						
GTM	Guatemala 	0.55	0.30			60	50	30		0.60	0.50	0.30						
GIN	Guinea	0.43	0.20			45	40	20		0.45	0.40	0.20						
GNB	Guinea-Bissau	0.33	0.20			35	30	20		0.35	0.30	0.20						
GUY	Guyana	0.30	0.30			30	30	30		0.30	0.30	0.30						
HTI	Haiti	0.30	0.10			30	30	10		0.30	0.30	0.10						
HND	Honduras 	0.63	0.30			65	60	30		0.65	0.60	0.30						
HKG	Hong Kong	0.90	0.90			90	90	90		0.90	0.90	0.90						
HUN	Hungary 	0.70	0.70			70	70	70		0.70	0.70	0.70						
ISL	Iceland	0.63	0.90			65	60	90		0.65	0.60	0.90						
IND	India	0.38	0.50			35	40	50		0.35	0.40	0.50						
IDN	Indonesia	0.38	0.30			35	40	30		0.35	0.40	0.30						
IRN	Iran	0.05	0.10			0	10	10		0.00	0.10	0.10						
IRL	Ireland	0.80	0.90			90	70	90		0.90	0.70	0.90						
ISR	Israel	0.75	0.70			80	70	70		0.80	0.70	0.70						
ITA	Italy	0.68	0.50			75	60	50		0.75	0.60	0.50						
JAM	Jamaica 	0.73	0.40			85	60	40		0.85	0.60	0.40						
JPN	Japan	0.55	0.80			60	50	80		0.60	0.50	0.80						
JOR	Jordan	0.65	0.55			70	60	55		0.70	0.60	0.55						
KAZ	Kazakhstan	0.40	0.40			30	50	40		0.30	0.50	0.40						
KEN	Kenya	0.50	0.30			50	50	30		0.50	0.50	0.30						
KIR	Kiribati	0.28	0.30			25	30	30		0.25	0.30	0.30						
KWT	Kuwait	0.53	0.50			55	50	50		0.55	0.50	0.50						
KGZ	Kyrgyz Republic 	0.53	0.20			55	50	20		0.55	0.50	0.20						
