ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
S 1306	1306	0	0	P	xxx	xnp	0	np	np	1	vols	The deputy boss : a tale of British Honduras	np	np	np	Society for Promoting Christian Knowledge ; New York : E.S. Gorham	London	UK	1910	np	B. Marchant	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/10682317	"158 pages, 3 unnumbered leaves of plates : color illustrations ; 20 cm"	First print date uncertain	xnp	###	
S 1308	1308	1	0	P	Statutes I	xnp	0	1642	1660	3	vols	"Acts and Ordinances of the Interregnum, 1642-1660"	np	np	np	"Published by His Majesty’s Stationery Office, : Printed by Wyman and Sons, Limited"	London	UK	1911	1911	np	"C. H. Firth, R. S. Rait"	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/1668272	3 volumes ; 25 cm	xnp	v 1–3: https://www.british-history.ac.uk/no-series/acts-ordinances-interregnum	###	
S 1310	1310	0	0	P	xxx	xnp	0	np	np	1	vols	System of education in British Honduras	np	np	np	Printed at H.M. Prison Belize	Belize	Belize	1913	np	A. B. Dillon	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/642568339	21 pages ; 33 cm	xnp	xnp	###	
S 1312	1312	0	0	P	xxx	xnp	0	np	np	1	vols	British Honduras	np	np	np	Dun's International Review	New York	USA	1914	np	E. N. Vose	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/2107117	23 pages illustrations (including map) 23 cm	"Reprinted in part from an article on ʻThe commerce and industries of British Honduras ̓appearing in the December, 1913, issue of *Dun's International Review*"	xnp	###	
S 1314	1314	1	0	P	Fuentes	xnp	xxx	xxx	xxx	3	vols	"Recordación florida : discurso historial y demostración natural, material, militar y política del reyno de Guatemala"	np	np	np	Tipografía nacional	Guatemala	Guatemala	1932	1933	F. A. de Fuentes y Guzmán	xnp	np	np	np	Lujan 2 478	http://gw.worldcat.org.proxygw.wrlc.org/oclc/3576677	"3 volumes illustrations, maps (some folded) plates (1 folded) facsimiles, 27 cm"	"= vols 6–8 series *Biblioteca ""Goathemala"" de la Sociedad de Geografía e Historia de Guatemala* / Part 1 = 17 libs, part 2 = 14 libs / Incomplete part 1 published in 2 vols as [Madrid, L. Navarro, 1882–1883]"	v 1: https://archive.org/details/BibliotecaGoathemalaAGHGVolVIRecordacionFlorida1 / v 2: https://archive.org/details/BibliotecaGoathemalaAGHGVolVIIRecordacionFlorida2 / v 3: https://archive.org/details/BibliotecaGoathemalaAGHGVolVIIIRecordacionFlorida3	###	
S 1316	1316	0	0	P	Stone S	xnp	0	np	np	1	vols	Some Spanish Entradas 1524–1695	np	np	np	"Dept. of Middle American Research, Tulane University of Louisiana"	New Orleans	USA	1932	np	D. Z. Stone	np	np	np	np	Bolland F 207 no 9	http://gw.worldcat.org.proxygw.wrlc.org/oclc/5031508	"pages 211-296 : facsimile, folded map ; 28 cm"	"pp 259–269 re Manche Chol Mayans /v Bolland F 18 / Reprinted from *Middle American research series*, publication no. 4, 'Middle American Papers’ ie Maurice Ruddell Ries [New Orleans, Dept of Middle American Research, Tulane University of Louisiana, 1932] Desc = xi, 566 pages OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/736389"	xnp	###	
S 1318	1318	0	0	P	xxx	xnp	0	np	np	1	vols	"The libraries of Bermuda, the Bahamas, the British West Indies, British Guiana, British Honduras, Puerto Rico, and the American Virgin islands ; a report to the Carnegie Corporation of New York"	np	np	np	Library Association	London	UK	1934	np	E. A. Savage	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/1850192 / http://gw.worldcat.org.proxygw.wrlc.org/oclc/24020938	"1 leaf, v-xi, 102 (i.e.104) pages, 1 leaf, [4] leaves of plates : illustrations, charts ; 26 x 20 cm"	xnp	xnp	###	
S 1320	1320	0	0	P	Perez H	Perez V	0	np	np	1	vols	Historias de Piratas : los aventureros del mar en la América Central	np	np	np	Tipografía nacional	Guatemala	Guatemala	1936	np	P. Pérez Valenzuela	np	np	np	np	Lujan 2 478	http://gw.worldcat.org.proxygw.wrlc.org/oclc/11634389	143 pages 27 cm	xnp	https://archive.org/details/historiasdepirat00pedrguat	###	
S 1322	1322	0	0	P	Sapper	xnp	0	np	np	1	vols	Die Verapaz im 16. und 17. jahrhundert. Ein beitrag zur historischen geographie und ethnographie des nordöstlichen Guatemala	np	np	np	Verlag der Bayerischen Akademie der Wissenschaften	Munich	Germany	1936	np	K. Sapper	xnp	np	np	np	Graham 408	http://id.lib.harvard.edu/alma/990012022800203941/catalog	46 pages 2 folded maps 30 cm	"Eng trans = [Los Angeles, Institute of Archaeology, University of California, 1985] Desc = xviii, 53 pages, 2 folded leaves of plates : illustrations ; 28 cm OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/12094780"	xnp	###	
S 1324	1324	1	0	P	Crosby	xnp	0	1849	1864	1	vols	Memoirs of Elisha Oscar Crosby	np	np	np	Huntington Library	San Marino	USA	1945	np	E. O. Crosby	C. A. Barker	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/3896652	"xxvi, 119 pages frontispiece (portrait) plates 24 cm"	= vol xnp series *Huntington Library publications*	https://lccn.loc.gov/45008788	###	
