ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
S 401	401	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	Archives	West India Committee	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://westindiacommittee.org/libraryandarchive/	np	Not found in ARCHON	xnp	###	
S 403	403	1	1	M	xxx	xnp	0	1608	1717	6	items	"Legal Papers, Deeds and Accounts: Wood"	West Yorkshire Archive Service	Leeds	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://discovery.nationalarchives.gov.uk/details/r/7ac28c83-bf2f-47fb-8f0f-6bd1c63489aa / https://archiveshub.jisc.ac.uk/data/gb205-lc000tn/lc000tn/6/7/10	np	Ref WYL100/PO/6/X / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531670 / Online catalogue could not be accessed on 14 Oct 2021 at http://www.wyjs.org.uk/archive-services/	xnp	###	
S 405	405	1	1	M	Westminster nn	xnp	3	1066	1900	xxx	xxx	Muniments of Westminster Abbey	Westminster Abbey	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://www.westminster-abbey.org/about-the-abbey/library-research/muniment-collection	np	"Some volumes or items possibly deposited in TNA, Kew, UK / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531533"	xnp	###	
S 407	407	1	1	M	Pub Affairs	xnp	0	1881	1881	1	vols	Administration of Public Affairs	xxx	xxx	xxx	np	np	np	np	np	np	np	np	np	np	Burdon 3 371	xnp	np	Property of M. S. Metzgen during Burdon Historical Committee /v Burdon 3 371	xnp	###	
S 409	409	1	1	P	xxx	xnp	0	1568	1949	128	feet	"Latin American pamphlet collection, 1568-1949 (inclusive), 1800-1880 (bulk)"	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hdl.handle.net/10079/bibid/614729	np	xnp	xnp	###	
S 411	411	1	1	M	xxx	xnp	0	1838	1871	1	boxes	"Aaron Columbus Burr papers, 1838-1871 (inclusive)"	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hdl.handle.net/10079/bibid/613852	np	xnp	xnp	###	
S 413	413	1	1	M	xxx	xnp	0	1768	1774	2	items	"Accounts for slave sales at the Bay of Honduras, 1768-1774"	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hdl.handle.net/10079/bibid/11880621	np	xnp	xnp	###	
S 415	415	1	1	M	xxx	xnp	0	1664	1857	7	boxes	"British Caribbean documents, 1664-1857 (bulk 1765-1825)"	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hdl.handle.net/10079/bibid/12766676	np	xnp	xnp	###	
S 417	417	1	1	M	xxx	xnp	0	1576	1949	4	boxes	"Central America collection, 1576-1949 (inclusive)."	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://archives.yale.edu/repositories/12/resources/3754 / https://hdl.handle.net/10079/bibid/4816612	np	xnp	xnp	###	
S 419	419	1	1	M	xxx	xnp	0	1826	1830	2	vols	Charles Dashwood diaries and commissions relating to Xalapa and Guatemala City	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hdl.handle.net/10079/bibid/8013010 / https://researchworks-oclc-org.proxygw.wrlc.org/archivegrid/collection/data/702182800	np	xnp	xnp	###	
